Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,82,0,1,0,0,0
2,80,0,0,2,0,0
3,79,3,2,2,0,0
4,1,3,0,2,0,0
5,79,0,2,2,0,0
6,79,0,0,2,0,0
7,0,2,0,2,3,0
8,0,2,2,2,3,0
9,0,1,1,2,0,0
10,1,1,2,2,0,0
11,0,2,0,2,3,0
12,82,3,2,3,3,0
13,80,2,0,2,3,0
14,0,3,1,2,0,0
15,0,3,1,2,0,0
16,80,2,0,2,3,0
17,0,0,0,2,3,0
18,79,1,1,2,0,0
19,0,1,1,2,0,0
20,79,1,1,2,0,0
21,0,1,2,2,0,0
22,82,0,0,0,0,0
23,79,1,2,2,0,0
24,80,0,2,2,0,0
25,81,1,2,0,0,0
26,81,0,0,0,0,0
27,0,1,2,2,0,0
28,0,3,2,2,0,0
29,80,0,2,2,0,0
30,0,3,2,2,0,0
31,0,0,1,2,0,0
32,81,2,1,3,3,0
33,81,0,2,3,3,0
34,81,1,1,0,0,0
35,0,3,1,2,0,0
36,1,1,0,2,1,0
37,82,1,2,1,1,0
38,79,3,0,2,1,0
39,80,3,1,2,0,0
40,82,3,2,0,0,0
41,81,2,0,3,3,0
42,0,1,1,2,0,0
43,0,3,2,2,0,0
44,82,2,1,0,0,0
45,80,1,2,2,0,0
46,79,2,2,2,0,0
47,80,0,1,2,0,0
48,79,1,2,2,0,0
49,0,3,1,2,0,0
50,80,1,2,2,0,0
51,82,1,0,1,1,0
52,80,1,2,2,1,0
53,81,3,2,1,1,0
54,81,0,1,0,0,0
55,80,2,1,2,3,0
56,1,2,2,2,3,0
57,81,3,2,3,3,0
58,81,3,0,3,3,0
59,1,3,1,2,0,0
60,82,3,2,0,0,0
61,82,2,0,3,3,0
62,80,2,0,2,3,0
63,1,2,2,2,3,0
64,1,3,0,2,3,0
65,81,0,1,0,0,0
66,79,0,2,2,0,0
67,0,2,0,2,3,0
68,81,2,1,0,0,0
69,79,3,0,2,0,0
70,1,2,1,2,0,0
71,1,3,1,2,0,0
72,82,3,0,0,0,0
73,80,2,0,2,3,0
74,82,1,1,0,0,0
75,81,2,0,3,3,0
76,1,1,2,2,3,0
77,0,2,1,2,0,0
78,0,3,0,2,0,0
79,80,3,0,2,0,0
80,0,0,0,2,0,0
81,79,0,2,2,0,0
82,80,0,0,2,0,0
83,1,2,2,2,0,0
84,0,0,2,2,0,0
85,81,0,1,0,0,0
86,0,1,1,2,1,0
87,80,0,2,2,1,0
88,82,2,0,3,3,0
89,82,1,0,1,1,0
90,79,2,1,2,0,0
91,81,3,0,0,0,0
92,79,3,0,2,0,0
93,0,2,2,2,0,0
94,0,3,1,2,0,0
95,79,0,1,2,0,0
96,0,2,0,2,3,0
97,82,0,2,3,3,0
98,1,3,0,2,3,0
99,1,0,1,2,0,0
100,0,3,2,2,0,0
101,0,0,0,2,0,0
102,80,2,1,2,0,0
103,79,2,2,2,0,0
104,81,0,2,0,0,0
105,79,2,1,2,0,0
106,80,2,0,2,3,0
107,82,0,0,3,3,0
108,81,2,1,0,0,0
109,79,3,1,2,0,0
110,80,3,2,2,0,0
111,0,3,1,2,0,0
112,0,3,2,2,0,0
113,82,3,1,0,0,0
114,81,2,2,0,0,0
115,80,0,0,2,0,0
116,1,3,1,2,0,0
117,80,3,2,2,0,0
118,80,2,2,2,0,0
119,0,1,1,2,0,0
120,81,0,1,0,0,0
121,1,2,0,2,3,0
122,81,1,2,3,3,0
123,79,3,1,2,0,0
124,0,1,2,2,0,0
125,82,1,1,0,0,0
126,79,1,0,2,1,0
127,1,0,0,2,1,0
128,80,0,0,2,1,0
129,1,3,2,2,1,0
130,1,1,2,2,1,0
131,82,1,0,1,1,0
132,82,3,2,1,1,0
133,81,3,0,1,1,0
134,82,3,0,1,1,0
135,79,2,2,2,1,0
136,81,3,1,0,0,0
137,80,1,1,2,1,0
138,80,2,2,2,1,0
139,0,1,1,2,0,0
140,82,2,0,3,3,0
141,82,3,1,0,0,0
142,0,0,1,2,0,0
143,81,1,2,0,0,0
144,0,0,1,2,0,0
145,1,3,0,2,0,0
146,82,1,2,0,0,0
147,80,3,1,2,0,0
148,1,3,2,2,0,0
149,1,2,0,2,3,0
150,80,0,2,2,3,0
151,81,1,1,0,0,0
152,80,2,1,2,3,0
153,79,1,1,2,1,0
154,0,3,2,2,1,0
155,0,3,1,2,0,0
156,0,2,0,2,3,0
157,79,1,2,2,3,0
158,0,0,0,2,3,0
159,82,1,1,0,0,0
160,0,0,2,2,0,0
161,80,0,2,2,0,0
162,82,0,0,0,0,0
163,1,2,2,2,0,0
164,0,0,1,2,0,0
165,81,2,2,0,0,0
166,1,2,1,2,0,0
167,79,0,1,2,0,0
168,81,1,0,1,1,0
169,1,1,2,2,1,0
170,79,2,0,2,3,0
171,82,0,0,3,3,0
172,80,3,2,2,3,0
173,80,0,2,2,3,0
174,79,1,1,2,0,0
175,82,3,0,0,0,0
176,0,0,1,2,0,0
177,0,2,1,2,3,0
178,0,2,2,2,3,0
179,81,0,2,3,3,0
180,81,1,0,1,1,0
181,79,1,0,2,1,0
182,80,1,2,2,1,0
183,80,2,1,2,0,0
184,79,1,0,2,1,0
185,81,1,0,1,1,0
186,80,3,1,2,0,0
187,79,2,1,2,3,0
188,82,3,2,3,3,0
189,81,0,2,3,3,0
190,1,1,2,2,3,0
191,1,2,0,2,3,0
192,1,3,0,2,3,0
193,79,1,0,2,1,0
194,81,0,0,1,1,0
195,82,1,2,1,1,0
196,1,2,0,2,3,0
197,1,1,2,2,3,0
198,1,2,0,2,3,0
199,1,2,2,2,3,0
200,80,1,0,2,1,0
201,81,3,2,1,1,0
202,79,0,2,2,1,0
203,0,3,2,2,1,0
204,79,1,0,2,1,0
205,79,2,2,2,1,0
206,81,0,0,1,1,0
207,80,2,0,2,3,0
208,82,3,0,3,3,0
209,80,1,2,2,3,0
210,82,1,1,0,0,0
211,80,1,0,2,1,0
212,80,1,1,2,0,0
213,80,0,2,2,0,0
214,79,2,2,2,0,0
215,0,3,1,2,0,0
216,82,1,2,0,0,0
217,0,2,0,2,3,0
218,80,3,2,2,3,0
219,1,3,2,2,3,0
220,80,3,1,2,0,0
221,79,0,1,2,0,0
222,1,2,2,2,0,0
223,80,3,1,2,0,0
224,81,2,1,3,3,0
225,0,3,0,2,3,0
226,80,3,2,2,3,0
227,81,0,2,3,3,0
228,81,1,0,1,1,0
229,79,2,0,2,3,0
230,82,1,2,3,3,0
231,79,0,0,2,3,0
232,1,2,1,2,0,0
233,1,1,2,2,0,0
234,81,3,0,0,0,0
235,0,0,2,2,0,0
236,81,2,0,3,3,0
237,1,0,0,2,3,0
238,0,3,2,2,3,0
239,0,1,0,2,1,0
240,0,3,1,2,0,0
241,1,2,2,2,0,0
242,1,3,2,2,0,0
243,79,2,2,2,0,0
