Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,80,2,1,2,0,0
2,1,2,0,2,3,0
3,82,1,0,1,1,0
4,0,2,1,2,0,0
5,0,2,0,2,3,0
6,79,2,2,2,3,0
7,80,0,1,2,0,0
8,1,0,0,2,0,0
9,80,0,1,2,0,0
10,0,0,1,2,0,0
11,82,1,2,0,0,0
12,80,3,0,2,0,0
13,1,3,2,2,0,0
14,82,1,2,0,0,0
15,1,0,1,2,0,0
16,81,0,1,0,0,0
17,80,0,1,2,0,0
18,81,0,2,0,0,0
19,79,3,0,2,0,0
20,80,2,1,2,0,0
21,81,3,2,0,0,0
22,81,1,0,1,1,0
23,1,3,0,2,1,0
24,79,0,1,2,0,0
25,80,0,0,2,0,0
26,81,2,0,3,3,0
27,0,0,0,2,3,0
28,80,2,1,2,0,0
29,81,3,0,0,0,0
30,82,0,2,0,0,0
31,1,0,2,2,0,0
32,80,2,0,2,3,0
33,82,2,1,0,0,0
34,80,3,1,2,0,0
35,80,2,0,2,3,0
36,80,0,0,2,3,0
37,80,1,2,2,3,0
38,1,1,1,2,0,0
39,81,2,1,3,3,0
40,82,2,1,3,3,0
41,82,3,2,3,3,0
42,82,2,2,3,3,0
43,0,1,2,2,3,0
44,82,0,0,3,3,0
45,81,0,2,3,3,0
46,81,3,1,0,0,0
47,82,3,2,0,0,0
48,80,1,0,2,1,0
49,82,2,1,0,0,0
50,1,2,0,2,3,0
51,81,3,2,3,3,0
52,81,2,0,3,3,0
53,1,0,0,2,3,0
54,81,3,1,0,0,0
55,82,2,2,0,0,0
56,80,3,0,2,0,0
57,82,3,2,0,0,0
58,81,3,1,0,0,0
59,80,1,0,2,1,0
60,81,0,0,1,1,0
61,1,0,1,2,0,0
62,82,1,0,1,1,0
63,79,1,0,2,1,0
64,79,2,1,2,0,0
65,0,3,0,2,0,0
66,0,3,0,2,0,0
67,81,2,1,0,0,0
68,0,1,2,2,0,0
69,79,3,0,2,0,0
70,1,0,0,2,0,0
71,1,0,0,2,0,0
72,82,1,2,0,0,0
73,81,3,1,0,0,0
74,80,0,0,2,0,0
75,81,2,2,0,0,0
76,0,2,0,2,3,0
