Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,1,0,0,2,2,0
2,1,1,0,2,1,0
3,80,3,1,2,0,0
4,82,1,0,1,1,0
5,82,1,0,1,1,0
6,81,3,1,0,0,0
7,1,3,1,2,0,0
8,80,1,1,2,1,0
9,79,3,1,2,1,0
10,1,2,0,2,3,0
11,1,1,0,2,1,0
12,81,2,2,1,1,0
13,80,3,2,2,1,0
14,80,2,2,2,1,0
15,82,3,2,1,1,0
16,0,3,2,2,1,0
17,0,1,0,2,1,0
18,81,0,1,0,0,0
19,82,0,1,0,0,0
20,80,0,2,2,0,0
21,81,1,2,0,0,0
22,0,0,0,2,0,0
23,80,2,1,2,0,0
24,81,2,1,0,0,0
25,1,3,0,2,0,0
26,80,0,2,2,0,0
27,81,1,2,0,0,0
28,81,3,1,0,0,0
29,80,0,1,2,0,0
30,79,1,0,2,1,0
31,82,0,2,1,1,0
32,82,0,1,0,0,0
33,80,3,2,2,0,0
34,80,1,1,2,0,0
35,79,3,2,2,0,0
36,79,2,0,2,3,0
37,0,3,1,2,0,0
38,79,2,1,2,3,0
39,1,0,2,2,3,0
40,80,0,2,2,3,0
41,82,3,1,0,0,0
42,81,1,1,1,1,0
43,0,0,0,2,1,0
44,82,0,2,1,1,0
45,82,1,0,1,1,0
46,1,3,1,2,0,0
47,1,3,2,2,0,0
48,1,2,2,2,0,0
49,82,3,0,0,0,0
50,1,3,1,2,0,0
51,1,1,2,2,0,0
52,80,0,1,2,0,0
53,79,3,0,2,0,0
54,81,2,2,0,0,0
55,80,0,1,2,0,0
56,82,1,2,0,0,0
57,0,0,2,2,0,0
58,80,2,1,2,0,0
59,82,0,2,0,0,0
60,1,3,1,2,0,0
61,79,3,0,2,0,0
62,79,0,2,2,0,0
63,81,3,0,0,0,0
64,79,3,1,2,0,0
65,0,3,0,2,0,0
66,81,1,0,1,1,0
67,0,3,0,2,1,0
68,81,2,2,1,1,0
69,1,1,0,2,1,0
70,79,0,0,2,1,0
71,82,3,2,1,1,0
72,82,0,2,1,1,0
73,79,3,1,2,0,0
74,80,1,0,2,1,0
75,1,3,2,2,1,0
76,0,2,0,2,3,0
77,81,1,2,3,3,0
78,1,3,2,2,3,0
79,81,3,2,3,3,0
80,81,3,0,3,3,0
81,0,2,1,2,0,0
82,79,1,1,2,1,0
83,81,2,0,3,3,0
84,79,2,2,2,3,0
85,1,0,2,2,3,0
86,79,1,1,2,0,0
87,82,0,1,0,0,0
88,0,3,0,2,0,0
89,0,2,1,2,0,0
90,1,0,2,2,0,0
91,1,0,2,2,0,0
92,82,0,0,0,0,0
93,82,1,0,1,1,0
94,81,2,2,1,1,0
95,80,0,0,2,1,0
96,0,2,2,2,1,0
97,82,3,2,1,1,0
98,79,2,1,2,0,0
99,79,2,0,2,3,0
100,81,1,1,0,0,0
101,79,1,0,2,1,0
102,80,3,1,2,0,0
103,0,2,2,2,0,0
104,0,0,0,2,0,0
105,82,0,0,0,0,0
106,82,2,2,0,0,0
107,81,1,1,0,0,0
108,1,3,2,2,0,0
109,80,3,1,2,0,0
110,80,0,0,2,0,0
111,80,2,1,2,0,0
112,79,0,1,2,0,0
113,80,2,1,2,3,0
114,79,2,2,2,3,0
115,1,1,1,2,0,0
116,79,3,1,2,0,0
117,0,3,2,2,0,0
118,1,1,1,2,0,0
119,0,3,0,2,0,0
120,82,1,0,1,1,0
121,0,3,2,2,1,0
122,82,0,2,1,1,0
123,1,0,0,2,1,0
124,1,3,0,2,1,0
125,79,3,2,2,1,0
126,80,2,2,2,1,0
127,80,3,2,2,1,0
128,81,2,1,0,0,0
129,81,3,0,0,0,0
130,0,1,0,2,1,0
131,1,0,0,2,1,0
132,80,0,1,2,0,0
133,0,2,2,2,0,0
134,79,2,0,2,3,0
135,82,2,2,3,3,0
136,1,2,2,2,3,0
137,79,3,1,2,0,0
138,0,1,2,2,0,0
139,80,2,0,2,3,0
140,81,1,2,3,3,0
141,81,1,0,1,1,0
142,82,2,1,0,0,0
143,81,3,2,0,0,0
144,82,1,1,0,0,0
145,80,0,0,2,0,0
146,79,3,2,2,0,0
147,82,3,2,0,0,0
148,80,3,1,2,0,0
149,0,0,0,2,0,0
150,79,0,2,2,0,0
151,1,3,1,2,0,0
152,80,1,1,2,1,0
153,0,0,1,2,0,0
154,79,2,2,2,0,0
155,0,1,1,2,0,0
156,0,1,2,2,0,0
157,0,3,1,2,0,0
158,1,1,1,2,1,0
159,0,0,2,2,1,0
160,1,3,1,2,0,0
161,81,1,2,0,0,0
162,1,2,0,2,3,0
163,0,1,0,2,1,0
164,80,3,2,2,1,0
165,82,1,2,1,1,0
166,0,0,2,2,1,0
167,0,2,2,2,1,0
168,1,3,0,2,1,0
169,79,2,1,2,0,0
170,79,1,0,2,1,0
171,81,1,1,0,0,0
172,81,3,1,0,0,0
173,80,0,2,2,0,0
174,1,0,0,2,0,0
175,0,2,0,2,3,0
176,81,3,1,0,0,0
177,1,1,1,2,1,0
178,82,1,2,1,1,0
179,0,0,0,2,1,0
180,0,2,2,2,1,0
181,0,2,2,2,1,0
182,1,2,0,2,3,0
183,80,2,0,2,3,0
184,82,0,1,0,0,0
185,80,3,1,2,0,0
186,82,2,0,3,3,0
187,1,1,0,2,1,0
188,80,0,0,2,1,0
189,79,3,2,2,1,0
190,82,0,0,1,1,0
191,81,3,0,1,1,0
192,81,0,0,1,1,0
193,81,0,0,1,1,0
194,1,3,0,2,1,0
195,1,0,2,2,1,0
196,82,1,0,1,1,0
197,81,0,0,1,1,0
198,80,1,2,2,1,0
199,81,0,2,1,1,0
200,79,1,2,2,1,0
201,1,2,1,2,0,0
202,79,1,1,2,1,0
203,1,3,0,2,1,0
204,0,2,2,2,1,0
205,81,2,2,1,1,0
206,0,2,0,2,3,0
207,80,3,2,2,3,0
208,1,2,0,2,3,0
209,81,3,1,0,0,0
210,82,2,0,3,3,0
211,81,3,2,3,3,0
212,0,2,2,2,3,0
213,0,0,1,2,0,0
214,0,0,0,2,0,0
215,0,2,0,2,3,0
216,0,2,2,2,3,0
217,79,1,1,2,0,0
218,1,0,2,2,0,0
219,80,2,1,2,0,0
220,79,1,1,2,1,0
221,82,3,1,1,1,0
222,0,3,1,2,1,0
223,80,1,1,2,1,0
224,82,3,1,1,1,0
225,81,3,0,1,1,0
226,82,1,0,1,1,0
227,82,2,2,1,1,0
228,79,0,1,2,0,0
229,80,0,1,2,0,0
230,79,1,0,2,1,0
231,79,0,0,2,1,0
232,0,0,2,2,1,0
233,0,1,0,2,1,0
234,1,0,1,2,0,0
235,80,1,1,2,1,0
236,82,0,0,1,1,0
237,1,3,2,2,1,0
238,81,0,2,1,1,0
239,81,3,0,1,1,0
240,0,2,0,2,3,0
241,1,2,0,2,3,0
242,80,2,0,2,3,0
243,0,2,2,2,3,0
244,79,3,0,2,3,0
245,79,0,1,2,0,0
246,81,0,2,0,0,0
247,81,3,2,0,0,0
248,79,3,2,2,0,0
249,80,3,2,2,0,0
250,82,3,1,0,0,0
251,81,2,0,3,3,0
252,79,2,0,2,3,0
253,0,1,1,2,0,0
254,1,0,0,2,0,0
255,0,3,0,2,0,0
256,80,1,1,2,0,0
257,80,1,1,2,0,0
258,82,1,0,1,1,0
259,0,0,2,2,1,0
260,81,1,2,1,1,0
261,0,1,1,2,0,0
262,80,1,2,2,0,0
263,79,0,1,2,0,0
264,0,1,2,2,0,0
265,0,2,2,2,0,0
266,1,3,0,2,0,0
267,0,2,0,2,3,0
268,81,3,2,3,3,0
269,1,1,2,2,3,0
270,79,2,2,2,3,0
271,79,2,1,2,0,0
272,80,2,2,2,0,0
273,81,3,0,0,0,0
274,82,0,0,0,0,0
275,81,3,1,0,0,0
276,82,3,1,0,0,0
277,79,1,0,2,1,0
278,80,3,1,2,0,0
279,1,3,0,2,0,0
280,0,0,2,2,0,0
281,80,0,2,2,0,0
282,81,2,1,0,0,0
283,82,1,2,0,0,0
284,1,1,1,2,0,0
285,82,0,0,0,0,0
286,80,0,0,2,0,0
287,1,3,2,2,0,0
288,81,0,1,0,0,0
289,1,0,1,2,0,0
290,0,3,2,2,0,0
291,80,0,2,2,0,0
292,0,1,0,2,1,0
293,79,2,1,2,0,0
