Time,The_Coin_Sensor,The_Coffee_Request_Button,The_System_Mode,The_Coffee_Machine_Output,The_Request_Timer
0,false,false,1,0,0
1,false,false,1,0,0
2,false,false,1,0,0
3,true,true,0,0,0
4,false,false,0,0,0
5,false,false,0,0,0
6,true,true,0,0,0
7,true,true,0,0,0
8,false,false,0,0,0
9,true,true,0,0,0
10,false,false,0,0,0
11,true,true,0,0,0
12,true,true,0,0,0
13,true,true,0,0,0
14,false,false,0,0,0
15,true,true,0,0,0
16,false,false,0,0,0
17,false,false,0,0,0
18,true,true,0,0,0
19,false,false,0,0,0
20,false,false,0,0,0
21,true,true,0,0,0
22,true,true,0,0,0
23,true,true,0,0,0
24,true,true,0,0,0
25,false,false,0,0,0
26,false,false,0,0,0
27,false,false,0,0,0
28,true,true,0,0,0
29,false,false,0,0,0
30,false,true,3,0,0
31,false,false,3,0,0
32,false,false,3,0,0
33,false,false,3,0,0
34,false,false,3,0,0
35,true,true,3,0,0
36,true,true,3,0,0
37,false,false,3,0,0
38,true,true,3,0,0
39,false,false,3,0,0
40,true,false,0,1,0
41,false,false,0,1,0
42,true,true,0,1,0
43,true,true,0,1,0
44,true,true,0,1,0
45,true,true,0,1,0
46,false,false,0,1,0
47,false,false,0,1,0
48,false,false,0,1,0
49,false,false,0,1,0
50,false,true,3,1,0
51,false,false,3,1,0
52,true,true,3,1,0
53,false,false,3,1,0
54,false,false,3,1,0
55,false,false,3,1,0
56,false,false,3,1,0
57,false,false,3,1,0
58,false,false,3,1,0
59,false,false,3,1,0
60,false,true,1,1,0
61,true,true,0,1,0
