Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,81,1,1,0,0,0
2,82,1,1,0,0,0
3,1,3,1,2,0,0
4,80,1,1,2,1,0
5,82,3,1,1,1,0
6,79,3,1,2,1,0
7,82,1,0,1,1,0
8,79,0,1,2,0,0
9,0,2,2,2,0,0
10,79,3,1,2,0,0
11,81,3,0,0,0,0
12,1,1,0,2,1,0
13,80,0,2,2,1,0
14,82,3,2,1,1,0
15,1,1,1,2,0,0
16,1,0,1,2,0,0
17,1,2,0,2,3,0
18,79,2,1,2,0,0
19,81,0,2,0,0,0
20,1,1,1,2,0,0
21,0,3,1,2,0,0
22,79,3,0,2,0,0
23,81,3,2,0,0,0
24,82,3,1,0,0,0
25,82,1,2,0,0,0
26,0,1,0,2,1,0
27,81,1,0,1,1,0
28,79,1,1,2,0,0
29,0,0,1,2,0,0
30,82,0,2,0,0,0
31,1,3,0,2,0,0
32,0,1,1,2,0,0
33,0,2,2,2,0,0
34,81,3,2,0,0,0
35,79,1,1,2,0,0
36,81,1,2,0,0,0
37,80,2,2,2,0,0
38,0,3,0,2,0,0
39,79,1,0,2,1,0
40,80,1,0,2,1,0
41,0,3,2,2,1,0
42,80,1,0,2,1,0
43,82,1,1,0,0,0
44,1,2,1,2,3,0
45,79,3,2,2,3,0
46,80,1,2,2,3,0
47,82,3,2,3,3,0
48,82,0,1,0,0,0
49,81,0,2,0,0,0
50,79,1,1,2,0,0
51,0,0,2,2,0,0
52,82,3,0,0,0,0
53,81,2,1,0,0,0
54,82,0,0,0,0,0
55,82,3,2,0,0,0
56,81,2,0,3,3,0
57,81,0,2,3,3,0
58,1,3,0,2,3,0
59,80,0,0,2,3,0
60,0,0,1,2,0,0
61,80,3,2,2,0,0
62,0,2,2,2,0,0
63,82,1,0,1,1,0
64,79,0,0,2,1,0
65,80,1,0,2,1,0
66,0,0,2,2,1,0
67,1,0,1,2,0,0
68,79,0,1,2,0,0
69,79,3,0,2,0,0
70,0,1,0,2,1,0
71,81,1,2,1,1,0
72,82,2,2,1,1,0
73,81,0,2,1,1,0
74,82,0,2,1,1,0
75,81,1,1,0,0,0
76,0,2,0,2,3,0
77,1,0,2,2,3,0
78,79,2,2,2,3,0
79,79,3,1,2,0,0
80,81,2,2,0,0,0
81,0,2,1,2,0,0
82,80,3,0,2,0,0
83,1,1,2,2,0,0
84,0,1,2,2,0,0
85,0,0,2,2,0,0
86,79,3,0,2,0,0
87,0,2,1,2,0,0
88,80,1,2,2,0,0
89,80,2,2,2,0,0
90,81,2,1,0,0,0
91,79,3,0,2,0,0
92,79,2,1,2,0,0
93,81,1,1,1,1,0
94,79,0,1,2,0,0
95,80,0,0,2,0,0
96,79,1,0,2,1,0
97,82,1,1,0,0,0
98,79,3,1,2,0,0
99,80,3,2,2,0,0
100,1,1,0,2,1,0
101,79,0,2,2,1,0
102,80,2,1,2,0,0
103,80,1,0,2,1,0
104,79,1,2,2,1,0
105,79,2,2,2,1,0
106,82,0,1,0,0,0
107,1,1,0,2,1,0
108,80,3,0,2,1,0
109,0,3,0,2,1,0
110,1,0,2,2,1,0
111,80,1,2,2,1,0
112,80,3,2,2,1,0
113,81,2,0,3,3,0
114,82,3,2,3,3,0
115,81,0,0,3,3,0
116,80,3,0,2,3,0
117,79,1,2,2,3,0
118,0,0,0,2,3,0
119,1,0,2,2,3,0
120,80,3,1,2,0,0
121,1,3,0,2,0,0
122,0,3,2,2,0,0
123,80,1,2,2,0,0
124,79,2,2,2,0,0
125,0,2,2,2,0,0
126,81,3,0,0,0,0
127,82,1,2,0,0,0
128,1,3,1,2,0,0
129,80,1,0,2,1,0
130,80,1,2,2,1,0
