Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,0,3,0,2,2,0
2,80,1,2,2,2,0
3,1,1,0,2,1,0
4,0,3,1,2,0,0
5,81,0,1,0,0,0
6,1,3,2,2,0,0
7,80,3,0,2,0,0
8,0,3,2,2,0,0
9,0,1,2,2,0,0
10,79,3,2,2,0,0
11,0,2,1,2,0,0
12,79,1,0,2,1,0
13,0,1,0,2,1,0
14,82,0,2,1,1,0
15,81,0,2,1,1,0
16,81,0,0,1,1,0
17,80,0,1,2,0,0
18,1,2,2,2,0,0
19,1,3,2,2,0,0
20,1,1,0,2,1,0
21,79,1,1,2,0,0
22,81,2,2,0,0,0
23,79,1,1,2,0,0
24,81,2,2,0,0,0
25,81,2,1,0,0,0
26,0,2,2,2,0,0
27,80,3,2,2,0,0
28,79,2,1,2,0,0
29,80,0,0,2,0,0
30,0,3,1,2,0,0
31,82,2,2,0,0,0
32,80,1,2,2,0,0
33,79,0,1,2,0,0
34,82,3,0,0,0,0
35,1,0,1,2,0,0
36,0,3,2,2,0,0
37,81,2,2,0,0,0
38,79,1,0,2,1,0
39,1,2,0,2,3,0
40,82,2,0,3,3,0
41,1,0,2,2,3,0
42,80,1,2,2,3,0
43,80,1,2,2,3,0
44,1,1,1,2,0,0
45,81,0,0,0,0,0
46,80,1,1,2,0,0
47,79,1,0,2,1,0
48,1,3,0,2,1,0
49,80,0,0,2,1,0
50,82,2,2,1,1,0
51,80,0,0,2,1,0
52,1,0,0,2,1,0
53,82,2,0,3,3,0
54,79,2,0,2,3,0
55,1,3,2,2,3,0
56,81,0,0,3,3,0
57,79,1,0,2,1,0
58,81,3,2,1,1,0
59,1,0,0,2,1,0
60,79,2,2,2,1,0
61,0,3,0,2,1,0
62,82,1,2,1,1,0
63,0,1,0,2,1,0
64,82,1,2,1,1,0
65,82,0,1,0,0,0
66,79,0,0,2,0,0
67,80,2,0,2,3,0
68,80,3,1,2,0,0
69,79,2,2,2,0,0
70,82,1,1,0,0,0
71,80,2,0,2,3,0
72,82,1,2,3,3,0
73,81,3,2,3,3,0
74,80,0,0,2,3,0
75,81,3,1,0,0,0
76,81,1,2,0,0,0
77,82,2,2,0,0,0
78,81,2,1,0,0,0
79,1,2,2,2,0,0
80,82,3,1,0,0,0
81,81,2,2,0,0,0
82,0,3,2,2,0,0
83,80,0,0,2,0,0
84,79,2,0,2,3,0
85,82,2,0,3,3,0
86,1,3,1,2,0,0
87,79,3,0,2,0,0
88,81,3,0,0,0,0
89,82,0,0,0,0,0
90,0,2,0,2,3,0
91,82,3,0,3,3,0
92,80,3,0,2,3,0
93,80,0,0,2,3,0
94,79,3,0,2,3,0
95,0,2,1,2,0,0
96,0,0,2,2,0,0
97,81,2,1,0,0,0
98,1,0,1,2,0,0
99,82,2,1,3,3,0
100,82,0,2,3,3,0
101,79,3,2,2,3,0
102,1,3,2,2,3,0
103,0,1,0,2,1,0
104,1,2,1,2,0,0
105,79,3,1,2,0,0
106,80,2,1,2,3,0
107,1,3,0,2,3,0
108,0,0,2,2,3,0
109,81,0,0,3,3,0
110,1,1,0,2,1,0
111,80,2,0,2,3,0
112,82,1,2,3,3,0
113,0,0,1,2,0,0
114,0,2,1,2,3,0
115,80,0,0,2,3,0
116,82,2,1,0,0,0
117,81,1,1,1,1,0
118,80,2,0,2,3,0
119,79,0,2,2,3,0
120,0,1,0,2,1,0
121,1,3,1,2,0,0
122,82,1,2,0,0,0
123,1,0,2,2,0,0
124,1,2,2,2,0,0
125,0,1,1,2,0,0
126,81,2,1,3,3,0
127,79,0,2,2,3,0
128,0,2,0,2,3,0
129,79,2,2,2,3,0
130,79,0,1,2,0,0
131,79,1,2,2,0,0
132,79,2,0,2,3,0
133,82,3,2,3,3,0
134,81,0,1,0,0,0
135,0,2,0,2,3,0
136,79,1,0,2,1,0
137,80,1,1,2,0,0
138,79,3,2,2,0,0
139,81,2,1,0,0,0
140,81,2,1,0,0,0
141,81,2,0,3,3,0
142,0,3,1,2,0,0
143,80,3,2,2,0,0
144,1,2,0,2,3,0
145,81,2,2,3,3,0
146,79,0,2,2,3,0
147,79,1,1,2,0,0
148,81,3,1,0,0,0
149,79,1,1,2,1,0
150,1,0,1,2,0,0
151,80,3,1,2,0,0
152,0,2,1,2,3,0
153,79,0,0,2,3,0
154,80,0,2,2,3,0
155,79,1,2,2,3,0
156,81,0,1,0,0,0
157,79,1,2,2,0,0
158,81,0,2,0,0,0
159,79,1,2,2,0,0
160,1,3,1,2,0,0
161,1,0,0,2,0,0
162,79,2,1,2,0,0
163,82,0,1,0,0,0
164,0,0,2,2,0,0
165,0,1,0,2,1,0
166,80,2,1,2,0,0
167,80,2,2,2,0,0
168,82,3,1,0,0,0
169,79,0,1,2,0,0
170,82,0,0,0,0,0
171,82,2,1,0,0,0
172,1,3,0,2,0,0
173,1,0,2,2,0,0
174,79,1,2,2,0,0
175,0,3,0,2,0,0
176,80,1,1,2,0,0
177,81,3,1,0,0,0
178,79,2,0,2,3,0
179,79,3,2,2,3,0
