Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,82,1,2,2,2,0
2,79,3,2,2,2,0
3,79,2,0,2,3,0
4,1,0,1,2,0,0
5,79,0,1,2,0,0
6,0,3,2,2,0,0
7,79,0,2,2,0,0
8,81,1,1,0,0,0
9,79,3,2,2,0,0
10,81,2,0,3,3,0
11,81,0,0,3,3,0
12,80,2,0,2,3,0
13,81,3,2,3,3,0
14,81,0,2,3,3,0
15,79,0,2,2,3,0
16,82,3,2,3,3,0
17,82,3,1,0,0,0
18,0,2,0,2,3,0
19,81,2,2,3,3,0
20,82,3,2,3,3,0
21,81,1,2,3,3,0
22,82,2,2,3,3,0
23,79,2,1,2,0,0
24,1,0,1,2,0,0
25,82,1,0,1,1,0
26,79,1,2,2,1,0
27,1,2,1,2,0,0
28,1,1,1,2,1,0
29,0,1,1,2,1,0
30,82,3,2,1,1,0
31,81,2,1,0,0,0
32,0,2,2,2,0,0
33,82,3,2,0,0,0
34,81,0,0,0,0,0
35,79,2,1,2,0,0
36,80,2,2,2,0,0
37,1,2,1,2,0,0
38,80,1,1,2,1,0
39,82,1,2,1,1,0
40,80,1,1,2,0,0
41,80,3,2,2,0,0
42,79,2,0,2,3,0
43,0,1,2,2,3,0
