Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,79,3,0,2,2,0
2,0,3,0,2,2,0
3,80,1,1,2,0,0
4,1,3,1,2,0,0
5,0,0,1,2,0,0
6,0,0,0,2,0,0
7,0,0,0,2,0,0
8,0,2,2,2,0,0
9,79,0,1,2,0,0
10,82,3,0,0,0,0
11,1,1,0,2,1,0
12,82,0,0,1,1,0
13,82,0,1,0,0,0
14,79,3,2,2,0,0
15,82,1,2,0,0,0
16,79,0,1,2,0,0
17,79,0,1,2,0,0
18,1,3,1,2,0,0
19,80,0,0,2,0,0
20,82,2,2,0,0,0
21,0,0,1,2,0,0
22,0,3,0,2,0,0
23,79,1,1,2,0,0
24,82,0,1,0,0,0
25,1,0,2,2,0,0
26,80,0,1,2,0,0
27,0,3,0,2,0,0
28,80,2,1,2,0,0
29,79,2,0,2,3,0
30,81,2,1,0,0,0
31,1,0,2,2,0,0
32,79,0,1,2,0,0
33,0,0,0,2,0,0
34,82,0,2,0,0,0
35,81,3,1,0,0,0
36,82,2,2,0,0,0
37,80,0,0,2,0,0
38,1,2,0,2,3,0
39,1,2,1,2,0,0
40,81,3,0,0,0,0
41,0,0,0,2,0,0
42,80,3,2,2,0,0
43,80,3,1,2,0,0
44,0,0,2,2,0,0
45,82,0,2,0,0,0
46,1,2,2,2,0,0
47,79,1,0,2,1,0
48,79,3,0,2,1,0
49,81,2,0,3,3,0
50,82,1,2,3,3,0
51,79,2,1,2,0,0
52,80,0,2,2,0,0
53,79,1,1,2,0,0
54,81,1,2,0,0,0
55,1,3,2,2,0,0
56,80,0,0,2,0,0
57,81,1,2,0,0,0
58,1,0,2,2,0,0
59,82,1,2,0,0,0
60,1,0,2,2,0,0
61,79,3,2,2,0,0
62,79,3,1,2,0,0
63,1,2,1,2,3,0
64,79,2,2,2,3,0
65,79,0,0,2,3,0
66,79,0,2,2,3,0
67,79,1,1,2,0,0
68,80,3,2,2,0,0
69,80,3,2,2,0,0
70,79,1,1,2,0,0
71,80,3,1,2,0,0
72,0,3,1,2,0,0
73,1,3,1,2,0,0
74,1,0,1,2,0,0
75,82,3,1,0,0,0
76,0,0,1,2,0,0
77,0,2,0,2,3,0
78,1,1,0,2,1,0
79,0,2,1,2,0,0
80,0,0,2,2,0,0
81,80,0,1,2,0,0
82,81,0,0,0,0,0
83,0,2,1,2,0,0
84,82,3,2,0,0,0
85,1,1,1,2,0,0
86,1,0,2,2,0,0
87,1,3,2,2,0,0
88,82,3,2,0,0,0
89,81,2,0,3,3,0
90,79,1,0,2,1,0
91,1,2,0,2,3,0
92,79,0,1,2,0,0
93,80,3,2,2,0,0
94,80,0,1,2,0,0
95,81,0,1,0,0,0
96,81,0,2,0,0,0
97,1,1,0,2,1,0
98,79,2,2,2,1,0
99,0,0,0,2,1,0
100,81,2,2,1,1,0
101,79,1,1,2,0,0
102,80,0,2,2,0,0
103,81,2,2,0,0,0
104,82,2,0,3,3,0
105,0,0,2,2,3,0
106,1,0,0,2,3,0
107,79,3,1,2,0,0
108,0,0,2,2,0,0
109,0,1,1,2,0,0
110,81,2,1,3,3,0
111,1,1,0,2,1,0
112,79,3,1,2,0,0
113,79,3,2,2,0,0
114,80,2,1,2,0,0
115,79,1,2,2,0,0
116,82,3,0,0,0,0
117,82,1,2,0,0,0
118,82,0,1,0,0,0
119,81,3,1,0,0,0
120,82,3,2,0,0,0
121,79,1,2,2,0,0
122,1,0,2,2,0,0
123,1,1,2,2,0,0
124,0,3,2,2,0,0
125,1,1,0,2,1,0
126,1,0,1,2,0,0
127,79,2,0,2,3,0
