Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,80,1,0,2,1,0
2,0,0,0,2,1,0
3,79,1,1,2,0,0
4,82,0,1,0,0,0
5,79,3,1,2,0,0
6,80,2,2,2,0,0
7,82,2,1,0,0,0
8,79,1,2,2,0,0
9,82,2,0,3,3,0
10,80,1,1,2,0,0
11,0,3,2,2,0,0
12,82,2,1,0,0,0
13,82,0,2,0,0,0
14,0,0,1,2,0,0
15,79,3,1,2,0,0
16,1,2,2,2,0,0
17,1,2,0,2,3,0
18,0,2,0,2,3,0
19,79,0,2,2,3,0
20,81,0,2,3,3,0
21,80,1,2,2,3,0
22,0,0,1,2,0,0
23,79,0,2,2,0,0
24,81,0,1,0,0,0
25,81,3,2,0,0,0
26,0,3,0,2,0,0
27,81,3,0,0,0,0
28,82,2,2,0,0,0
29,79,2,2,2,0,0
30,1,1,1,2,0,0
31,82,0,2,0,0,0
32,0,1,2,2,0,0
33,81,1,1,0,0,0
34,81,0,0,0,0,0
35,82,1,1,0,0,0
36,1,0,2,2,0,0
37,82,1,2,0,0,0
38,80,1,2,2,0,0
39,81,2,1,0,0,0
40,80,3,1,2,0,0
41,82,2,1,3,3,0
42,80,3,1,2,3,0
43,79,0,0,2,3,0
44,0,1,2,2,3,0
45,0,1,1,2,0,0
46,80,1,0,2,1,0
47,82,0,0,1,1,0
48,79,3,1,2,0,0
49,79,0,1,2,0,0
50,0,0,0,2,0,0
51,0,1,1,2,0,0
52,1,1,1,2,0,0
53,80,1,2,2,0,0
54,81,3,1,0,0,0
55,80,3,0,2,0,0
56,1,2,1,2,0,0
57,80,3,1,2,0,0
58,0,1,1,2,1,0
59,1,3,1,2,1,0
60,79,3,1,2,1,0
61,82,1,2,1,1,0
62,80,3,0,2,1,0
63,0,0,1,2,0,0
64,80,2,2,2,0,0
65,79,2,2,2,0,0
66,82,1,0,1,1,0
67,80,3,0,2,1,0
68,0,0,1,2,0,0
69,1,1,2,2,0,0
70,0,3,2,2,0,0
71,1,0,2,2,0,0
72,79,0,2,2,0,0
73,79,1,1,2,0,0
74,0,2,0,2,3,0
75,0,0,2,2,3,0
76,79,0,1,2,0,0
77,80,0,2,2,0,0
78,0,2,1,2,0,0
79,0,0,2,2,0,0
80,82,1,1,0,0,0
81,1,0,1,2,0,0
82,79,0,2,2,0,0
83,82,3,1,0,0,0
84,79,3,1,2,0,0
85,1,3,1,2,0,0
86,1,3,2,2,0,0
87,79,0,2,2,0,0
88,1,1,1,2,0,0
89,1,3,1,2,0,0
90,80,3,1,2,0,0
91,82,1,0,1,1,0
92,1,3,0,2,1,0
93,79,2,0,2,3,0
94,79,1,2,2,3,0
95,1,2,0,2,3,0
96,80,0,1,2,0,0
97,82,3,2,0,0,0
98,79,1,2,2,0,0
99,82,1,1,0,0,0
100,0,2,1,2,3,0
101,1,1,2,2,3,0
102,81,0,2,3,3,0
103,81,0,0,3,3,0
104,81,0,1,0,0,0
105,79,3,2,2,0,0
106,81,3,2,0,0,0
107,80,3,1,2,0,0
108,81,0,1,0,0,0
109,79,3,2,2,0,0
110,81,2,1,0,0,0
111,79,1,1,2,1,0
112,1,0,2,2,1,0
113,0,1,2,2,1,0
114,81,2,1,0,0,0
115,80,0,2,2,0,0
116,79,3,2,2,0,0
117,81,0,2,0,0,0
118,81,3,2,0,0,0
119,1,1,0,2,1,0
120,0,0,2,2,1,0
121,80,3,1,2,0,0
122,1,1,2,2,0,0
123,1,2,0,2,3,0
124,79,0,0,2,3,0
125,82,2,2,3,3,0
126,79,0,2,2,3,0
127,1,2,2,2,3,0
128,81,2,2,3,3,0
129,79,0,2,2,3,0
130,80,3,1,2,0,0
131,82,0,0,0,0,0
132,79,0,0,2,0,0
133,82,2,2,0,0,0
134,0,2,1,2,0,0
135,1,3,0,2,0,0
136,0,2,1,2,0,0
137,81,1,2,0,0,0
138,82,2,1,0,0,0
139,81,0,2,0,0,0
140,79,2,0,2,3,0
141,82,3,0,3,3,0
142,1,2,0,2,3,0
143,81,1,2,3,3,0
144,0,2,0,2,3,0
145,81,0,2,3,3,0
146,0,0,1,2,0,0
147,80,2,1,2,3,0
148,0,2,0,2,3,0
149,0,1,0,2,1,0
150,82,1,0,1,1,0
151,82,1,1,0,0,0
152,0,1,1,2,0,0
153,81,2,1,3,3,0
154,1,0,2,2,3,0
155,82,1,0,1,1,0
156,81,3,0,1,1,0
157,81,1,2,1,1,0
158,80,2,1,2,0,0
159,0,2,1,2,0,0
160,79,2,0,2,3,0
161,80,3,1,2,0,0
162,82,1,1,1,1,0
163,0,2,0,2,3,0
164,0,2,1,2,0,0
165,82,0,2,0,0,0
166,81,3,1,0,0,0
167,80,3,1,2,0,0
168,81,2,1,3,3,0
169,81,1,1,1,1,0
170,80,1,0,2,1,0
171,1,2,0,2,3,0
172,80,0,1,2,0,0
173,81,2,2,0,0,0
174,1,1,0,2,1,0
175,80,1,2,2,1,0
176,1,2,1,2,0,0
177,79,1,0,2,1,0
178,1,2,0,2,3,0
179,82,0,1,0,0,0
180,80,0,0,2,0,0
181,80,1,1,2,0,0
182,79,3,2,2,0,0
183,80,0,0,2,0,0
184,80,2,0,2,3,0
185,1,1,1,2,0,0
