Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,0,0,0,2,2,0
2,79,0,0,2,2,0
3,79,0,0,2,2,0
4,81,3,1,0,0,0
5,0,3,1,2,0,0
6,81,1,0,1,1,0
7,1,3,1,2,0,0
8,80,0,0,2,0,0
9,80,3,0,2,0,0
10,80,2,2,2,0,0
11,82,2,1,0,0,0
12,80,2,0,2,3,0
13,81,2,1,0,0,0
14,82,1,1,1,1,0
15,0,2,0,2,3,0
16,0,1,0,2,1,0
17,1,3,1,2,0,0
18,81,0,1,0,0,0
19,82,3,1,0,0,0
20,80,2,2,2,0,0
21,80,2,2,2,0,0
22,80,3,0,2,0,0
23,80,2,2,2,0,0
24,82,2,2,0,0,0
25,79,3,1,2,0,0
26,80,2,2,2,0,0
27,1,2,0,2,3,0
28,0,1,2,2,3,0
29,81,2,0,3,3,0
30,82,3,2,3,3,0
31,81,0,0,3,3,0
32,80,3,1,2,0,0
33,81,0,2,0,0,0
34,1,3,1,2,0,0
35,81,0,1,0,0,0
36,79,2,1,2,3,0
37,0,3,0,2,3,0
38,0,1,2,2,3,0
39,80,3,2,2,3,0
40,81,3,1,0,0,0
41,79,1,0,2,1,0
42,0,0,2,2,1,0
43,0,0,2,2,1,0
44,79,1,1,2,0,0
45,79,2,2,2,0,0
46,1,2,0,2,3,0
47,0,2,1,2,0,0
48,80,0,2,2,0,0
49,79,0,1,2,0,0
50,80,0,1,2,0,0
51,81,1,0,1,1,0
52,79,0,0,2,1,0
53,82,2,1,0,0,0
54,0,3,1,2,0,0
55,80,3,1,2,0,0
56,79,2,1,2,3,0
57,0,2,0,2,3,0
58,79,1,1,2,0,0
59,81,2,0,3,3,0
60,81,3,1,0,0,0
61,0,2,2,2,0,0
62,82,1,0,1,1,0
63,1,1,1,2,0,0
64,81,1,2,0,0,0
65,1,0,1,2,0,0
66,80,0,0,2,0,0
67,1,2,0,2,3,0
68,1,1,2,2,3,0
69,1,0,0,2,3,0
70,79,0,0,2,3,0
71,79,0,2,2,3,0
72,0,1,1,2,0,0
73,80,2,2,2,0,0
74,1,0,0,2,0,0
75,80,2,0,2,3,0
76,82,3,1,0,0,0
77,82,1,2,0,0,0
78,80,0,2,2,0,0
79,82,0,1,0,0,0
80,81,2,1,3,3,0
81,79,0,0,2,3,0
82,80,2,0,2,3,0
83,1,1,1,2,0,0
84,82,2,2,0,0,0
85,81,1,1,0,0,0
86,81,2,1,3,3,0
87,0,3,0,2,3,0
88,82,0,2,3,3,0
89,81,0,1,0,0,0
90,81,2,2,0,0,0
91,80,0,1,2,0,0
92,0,2,2,2,0,0
93,0,2,0,2,3,0
94,81,3,1,0,0,0
95,80,1,0,2,1,0
96,82,2,1,0,0,0
97,82,3,2,0,0,0
98,82,1,1,0,0,0
99,1,0,0,2,0,0
100,81,3,2,0,0,0
101,81,1,0,1,1,0
102,1,3,0,2,1,0
103,80,2,2,2,1,0
104,81,1,0,1,1,0
105,0,1,0,2,1,0
106,82,1,0,1,1,0
107,82,0,1,0,0,0
108,1,0,1,2,0,0
109,0,0,2,2,0,0
110,0,1,2,2,0,0
111,81,2,2,0,0,0
112,0,3,0,2,0,0
113,1,0,2,2,0,0
114,79,0,2,2,0,0
115,1,2,0,2,3,0
116,1,0,0,2,3,0
117,80,1,2,2,3,0
118,0,3,1,2,0,0
119,80,2,0,2,3,0
120,82,0,1,0,0,0
121,79,0,1,2,0,0
122,81,1,0,1,1,0
123,0,0,1,2,0,0
124,79,0,1,2,0,0
125,81,0,0,0,0,0
126,82,1,2,0,0,0
127,1,3,1,2,0,0
128,82,3,0,0,0,0
129,82,0,0,0,0,0
130,80,3,0,2,0,0
131,82,3,1,0,0,0
132,79,3,0,2,0,0
133,1,2,1,2,0,0
134,81,2,2,0,0,0
135,81,1,2,0,0,0
136,0,0,1,2,0,0
137,80,0,2,2,0,0
138,1,2,0,2,3,0
139,79,1,0,2,1,0
140,1,2,0,2,3,0
141,79,2,1,2,0,0
142,80,0,2,2,0,0
143,80,2,0,2,3,0
144,79,2,0,2,3,0
145,79,3,0,2,3,0
146,79,2,1,2,0,0
147,79,3,2,2,0,0
148,81,2,2,0,0,0
149,1,1,1,2,0,0
150,82,1,2,0,0,0
151,80,3,0,2,0,0
152,81,2,2,0,0,0
153,79,2,2,2,0,0
154,0,0,1,2,0,0
155,80,2,1,2,3,0
156,1,1,2,2,3,0
157,81,1,0,1,1,0
158,82,2,2,1,1,0
159,82,0,2,1,1,0
160,79,1,1,2,0,0
161,81,3,0,0,0,0
162,81,2,1,0,0,0
163,0,0,0,2,0,0
164,81,1,2,0,0,0
165,81,3,1,0,0,0
166,80,3,0,2,0,0
167,82,1,1,0,0,0
168,81,3,1,0,0,0
169,1,3,2,2,0,0
170,79,1,1,2,0,0
171,80,2,2,2,0,0
172,81,3,2,0,0,0
173,82,2,2,0,0,0
174,0,1,1,2,0,0
