Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,0,3,2,2,2,0
2,1,1,2,2,2,0
3,80,2,2,2,2,0
4,1,0,2,2,2,0
5,81,1,0,1,1,0
6,81,1,0,1,1,0
7,0,3,0,2,1,0
8,79,1,2,2,1,0
9,79,1,2,2,1,0
10,80,1,0,2,1,0
11,0,0,2,2,1,0
12,80,3,2,2,1,0
13,82,2,2,1,1,0
14,1,2,0,2,3,0
15,79,2,2,2,3,0
16,1,1,2,2,3,0
17,82,3,0,3,3,0
18,82,3,1,0,0,0
19,81,1,0,1,1,0
20,82,3,1,0,0,0
21,0,1,2,2,0,0
22,81,0,2,0,0,0
23,1,3,0,2,0,0
24,82,2,1,0,0,0
25,0,0,2,2,0,0
26,81,3,2,0,0,0
27,79,0,1,2,0,0
28,1,3,0,2,0,0
29,81,2,1,0,0,0
30,0,3,1,2,0,0
31,79,0,0,2,0,0
32,0,0,2,2,0,0
33,79,0,2,2,0,0
34,80,2,1,2,0,0
35,1,1,0,2,1,0
36,80,3,1,2,0,0
37,80,1,2,2,0,0
38,82,0,1,0,0,0
39,81,3,0,0,0,0
40,79,2,2,2,0,0
41,81,0,1,0,0,0
42,0,3,0,2,0,0
43,0,0,0,2,0,0
44,82,0,0,0,0,0
45,0,1,0,2,1,0
46,81,0,2,1,1,0
47,0,0,1,2,0,0
48,80,1,1,2,1,0
49,0,1,2,2,1,0
50,1,0,2,2,1,0
51,0,2,2,2,1,0
52,81,1,1,0,0,0
53,1,2,1,2,3,0
54,0,2,1,2,3,0
55,79,2,0,2,3,0
56,0,3,1,2,0,0
57,80,1,1,2,1,0
58,1,1,2,2,1,0
59,80,1,2,2,1,0
60,0,0,2,2,1,0
61,82,3,2,1,1,0
62,79,1,1,2,0,0
63,1,0,0,2,0,0
64,1,0,2,2,0,0
65,1,2,2,2,0,0
66,82,2,1,0,0,0
67,79,2,0,2,3,0
68,1,1,2,2,3,0
69,0,2,0,2,3,0
70,81,3,2,3,3,0
71,82,2,1,0,0,0
72,82,0,1,0,0,0
73,0,2,1,2,3,0
74,81,2,2,3,3,0
75,80,2,0,2,3,0
76,80,1,0,2,1,0
77,79,1,0,2,1,0
78,81,1,2,1,1,0
79,80,0,0,2,1,0
80,0,1,1,2,0,0
81,81,1,1,0,0,0
82,79,2,0,2,3,0
83,1,0,1,2,0,0
84,0,0,1,2,0,0
85,81,1,1,1,1,0
86,1,1,1,2,1,0
87,1,2,1,2,3,0
88,1,3,2,2,3,0
89,81,1,1,0,0,0
90,80,1,1,2,0,0
91,82,2,0,3,3,0
92,1,2,1,2,0,0
93,79,0,0,2,0,0
94,1,3,0,2,0,0
95,81,0,2,0,0,0
96,80,0,2,2,0,0
97,0,3,2,2,0,0
98,81,3,2,0,0,0
99,82,3,0,0,0,0
100,0,2,0,2,3,0
101,82,0,0,3,3,0
102,80,0,2,2,3,0
103,1,2,2,2,3,0
104,1,3,2,2,3,0
105,0,3,2,2,3,0
106,80,1,2,2,3,0
107,79,3,1,2,0,0
108,82,3,0,0,0,0
109,80,1,0,2,1,0
110,0,1,2,2,1,0
111,0,0,1,2,0,0
112,80,3,1,2,0,0
113,81,1,2,0,0,0
114,81,1,2,0,0,0
115,81,2,2,0,0,0
116,82,2,0,3,3,0
117,80,2,2,2,3,0
118,81,3,2,3,3,0
119,0,2,0,2,3,0
120,79,0,2,2,3,0
121,79,2,0,2,3,0
122,1,3,1,2,0,0
123,80,2,2,2,0,0
124,79,0,2,2,0,0
125,80,0,1,2,0,0
126,81,1,0,1,1,0
127,81,1,1,0,0,0
128,80,3,0,2,0,0
129,81,3,0,0,0,0
130,81,3,1,0,0,0
131,81,1,0,1,1,0
132,79,3,2,2,1,0
133,1,0,0,2,1,0
134,1,0,0,2,1,0
135,80,1,2,2,1,0
136,81,1,0,1,1,0
137,1,2,1,2,0,0
138,80,0,1,2,0,0
139,79,3,2,2,0,0
140,82,2,2,0,0,0
141,80,2,2,2,0,0
142,82,1,1,0,0,0
143,80,3,0,2,0,0
144,81,1,1,0,0,0
145,1,1,2,2,0,0
146,80,2,1,2,0,0
147,79,3,1,2,0,0
148,82,1,2,0,0,0
149,1,3,2,2,0,0
150,79,1,2,2,0,0
151,1,3,1,2,0,0
152,79,3,0,2,0,0
153,79,3,0,2,0,0
154,79,3,1,2,0,0
155,82,3,0,0,0,0
156,79,2,1,2,0,0
157,1,0,0,2,0,0
158,1,0,2,2,0,0
159,79,2,0,2,3,0
160,81,0,2,3,3,0
161,80,3,2,2,3,0
162,80,2,0,2,3,0
163,79,1,0,2,1,0
164,1,3,1,2,0,0
165,82,0,0,0,0,0
166,82,3,2,0,0,0
167,79,2,1,2,0,0
168,1,2,0,2,3,0
169,80,3,0,2,3,0
170,81,3,2,3,3,0
171,82,2,1,0,0,0
172,81,0,2,0,0,0
173,81,0,1,0,0,0
174,81,2,2,0,0,0
175,80,1,2,2,0,0
176,0,2,2,2,0,0
177,0,3,0,2,0,0
178,81,3,1,0,0,0
179,81,3,1,0,0,0
180,79,3,1,2,0,0
181,0,0,1,2,0,0
