Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,79,0,0,2,2,0
2,81,0,0,2,2,0
3,79,1,2,2,2,0
4,81,1,2,2,2,0
5,80,3,0,2,2,0
6,80,2,0,2,3,0
7,81,2,2,3,3,0
8,1,3,0,2,3,0
9,0,3,0,2,3,0
10,79,1,0,2,1,0
11,82,1,2,1,1,0
12,1,1,2,2,1,0
13,82,3,0,1,1,0
14,79,0,1,2,0,0
15,1,0,1,2,0,0
16,79,3,0,2,0,0
17,81,2,1,0,0,0
18,81,1,1,1,1,0
19,80,3,2,2,1,0
20,79,1,1,2,0,0
21,1,0,0,2,0,0
22,0,2,2,2,0,0
23,1,0,0,2,0,0
24,1,3,0,2,0,0
25,1,2,1,2,0,0
26,1,2,1,2,0,0
27,1,3,2,2,0,0
28,79,1,1,2,0,0
29,79,0,1,2,0,0
30,79,3,0,2,0,0
31,82,1,1,0,0,0
32,82,1,2,0,0,0
33,0,0,1,2,0,0
34,0,0,0,2,0,0
35,1,0,2,2,0,0
36,0,2,1,2,0,0
37,82,3,0,0,0,0
38,0,1,1,2,0,0
39,80,0,1,2,0,0
40,0,0,1,2,0,0
41,79,3,2,2,0,0
42,82,3,2,0,0,0
43,81,1,2,0,0,0
44,1,1,0,2,1,0
45,80,2,2,2,1,0
46,82,0,2,1,1,0
47,1,1,2,2,1,0
48,81,2,2,1,1,0
49,79,1,0,2,1,0
50,1,0,0,2,1,0
51,1,3,2,2,1,0
52,1,3,2,2,1,0
53,82,1,2,1,1,0
54,80,1,2,2,1,0
55,1,0,2,2,1,0
56,0,0,0,2,1,0
57,82,0,2,1,1,0
58,81,1,1,0,0,0
59,1,1,0,2,1,0
60,79,2,0,2,3,0
61,0,3,0,2,3,0
62,79,2,1,2,0,0
63,82,2,0,3,3,0
64,0,3,0,2,3,0
65,1,1,2,2,3,0
66,80,3,0,2,3,0
67,81,0,0,3,3,0
68,1,2,1,2,0,0
69,80,2,2,2,0,0
70,0,0,0,2,0,0
71,80,1,1,2,0,0
72,82,1,1,0,0,0
73,80,1,1,2,0,0
74,82,3,2,0,0,0
75,79,2,1,2,0,0
76,82,0,0,0,0,0
77,79,2,0,2,3,0
78,80,0,2,2,3,0
79,79,1,2,2,3,0
80,82,1,1,0,0,0
81,0,2,2,2,0,0
82,0,1,0,2,1,0
83,80,0,1,2,0,0
84,81,0,2,0,0,0
85,80,2,2,2,0,0
86,79,0,1,2,0,0
87,80,2,1,2,3,0
88,79,3,0,2,3,0
89,1,1,1,2,0,0
90,82,0,2,0,0,0
91,80,3,2,2,0,0
92,79,3,0,2,0,0
93,80,3,1,2,0,0
94,81,3,1,0,0,0
95,80,1,0,2,1,0
96,82,1,0,1,1,0
97,1,1,0,2,1,0
98,82,0,1,0,0,0
99,81,1,0,1,1,0
100,80,0,2,2,1,0
101,82,1,0,1,1,0
