Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,1,3,1,2,0,0
2,1,3,0,2,0,0
3,0,3,0,2,0,0
4,80,3,1,2,0,0
5,1,3,2,2,0,0
6,82,2,0,3,3,0
7,0,1,2,2,3,0
8,1,3,1,2,0,0
9,80,3,1,2,0,0
10,81,0,2,0,0,0
11,79,0,2,2,0,0
12,79,2,0,2,3,0
13,80,0,0,2,3,0
14,81,2,1,0,0,0
15,81,2,0,3,3,0
16,1,3,1,2,0,0
17,81,2,2,0,0,0
18,79,0,1,2,0,0
19,80,1,1,2,1,0
20,0,0,0,2,1,0
21,79,2,0,2,3,0
22,82,0,2,3,3,0
23,81,1,0,1,1,0
24,1,1,1,2,0,0
25,1,2,0,2,3,0
26,1,0,2,2,3,0
27,79,3,1,2,0,0
28,80,0,0,2,0,0
29,80,2,0,2,3,0
30,0,1,2,2,3,0
31,0,3,1,2,0,0
32,79,1,0,2,1,0
33,81,2,2,1,1,0
34,81,3,2,1,1,0
35,82,2,0,3,3,0
36,82,0,2,3,3,0
37,81,0,0,3,3,0
38,82,2,2,3,3,0
39,79,1,2,2,3,0
40,79,3,2,2,3,0
41,82,1,0,1,1,0
42,81,0,0,1,1,0
43,80,3,2,2,1,0
44,1,1,0,2,1,0
45,81,1,2,1,1,0
46,0,0,1,2,0,0
47,0,1,1,2,1,0
48,1,1,1,2,1,0
49,0,0,1,2,0,0
50,80,1,1,2,1,0
51,81,1,0,1,1,0
52,81,1,1,0,0,0
53,81,0,0,0,0,0
54,0,2,1,2,0,0
55,82,1,0,1,1,0
56,82,0,1,0,0,0
57,81,1,0,1,1,0
58,0,0,2,2,1,0
59,81,0,2,1,1,0
60,80,3,0,2,1,0
61,82,0,0,1,1,0
62,80,2,2,2,1,0
63,81,2,0,3,3,0
64,80,1,1,2,0,0
65,81,2,0,3,3,0
66,80,1,2,2,3,0
67,79,2,0,2,3,0
68,1,0,0,2,3,0
69,81,0,2,3,3,0
70,81,0,1,0,0,0
71,80,1,1,2,1,0
72,1,2,2,2,1,0
73,79,1,0,2,1,0
74,0,1,0,2,1,0
75,1,3,1,2,0,0
76,81,3,2,0,0,0
77,1,0,2,2,0,0
78,1,2,0,2,3,0
79,1,3,1,2,0,0
80,0,0,2,2,0,0
81,79,2,0,2,3,0
82,0,0,2,2,3,0
83,1,3,0,2,3,0
84,82,0,2,3,3,0
85,81,2,0,3,3,0
86,81,1,0,1,1,0
87,82,1,1,0,0,0
88,0,0,2,2,0,0
89,0,2,0,2,3,0
90,79,2,0,2,3,0
91,82,0,2,3,3,0
92,82,0,0,3,3,0
93,79,3,0,2,3,0
94,0,3,0,2,3,0
95,80,0,0,2,3,0
96,1,1,1,2,0,0
97,79,2,0,2,3,0
98,1,0,1,2,0,0
99,81,0,0,0,0,0
100,81,0,0,0,0,0
101,1,2,0,2,3,0
102,0,2,2,2,3,0
103,82,2,0,3,3,0
104,81,3,1,0,0,0
105,80,1,0,2,1,0
106,80,3,2,2,1,0
107,80,1,2,2,1,0
108,81,1,2,1,1,0
109,80,0,0,2,1,0
110,0,2,2,2,1,0
111,1,0,0,2,1,0
112,1,2,0,2,3,0
113,82,1,1,0,0,0
114,82,3,2,0,0,0
115,82,1,1,0,0,0
116,81,2,2,0,0,0
117,1,3,0,2,0,0
118,1,0,0,2,0,0
119,1,0,1,2,0,0
120,81,3,1,0,0,0
121,1,2,2,2,0,0
122,79,2,1,2,0,0
123,81,1,1,1,1,0
124,80,0,2,2,1,0
125,81,0,1,0,0,0
126,82,0,2,0,0,0
127,82,1,0,1,1,0
128,82,3,0,1,1,0
129,82,0,2,1,1,0
130,79,2,2,2,1,0
131,79,2,2,2,1,0
132,81,0,2,1,1,0
133,80,2,0,2,3,0
134,82,0,0,3,3,0
135,80,0,0,2,3,0
136,1,2,2,2,3,0
137,80,2,0,2,3,0
138,1,0,2,2,3,0
139,82,0,1,0,0,0
