Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,0,3,1,2,0,0
2,81,2,1,3,3,0
3,82,2,1,3,3,0
4,79,3,0,2,3,0
5,0,0,1,2,0,0
6,79,1,0,2,1,0
7,79,2,1,2,0,0
8,0,0,0,2,0,0
9,81,2,1,0,0,0
10,1,1,0,2,1,0
11,81,3,2,1,1,0
12,81,3,2,1,1,0
13,81,0,2,1,1,0
14,82,0,0,1,1,0
15,80,1,0,2,1,0
16,82,1,1,0,0,0
17,81,0,0,0,0,0
18,81,2,1,0,0,0
19,79,3,2,2,0,0
20,81,1,1,0,0,0
21,81,2,0,3,3,0
22,79,1,1,2,0,0
23,1,3,1,2,0,0
24,80,0,1,2,0,0
25,1,0,1,2,0,0
26,0,3,2,2,0,0
27,1,3,0,2,0,0
28,82,2,2,0,0,0
29,1,0,0,2,0,0
30,79,2,1,2,0,0
31,1,0,2,2,0,0
32,80,3,2,2,0,0
33,81,0,0,0,0,0
34,0,1,0,2,1,0
35,82,3,2,1,1,0
36,81,1,0,1,1,0
37,80,1,1,2,0,0
38,82,1,0,1,1,0
39,1,2,1,2,0,0
40,80,2,2,2,0,0
41,81,1,0,1,1,0
42,80,2,0,2,3,0
43,82,3,1,0,0,0
44,0,2,1,2,3,0
45,81,1,2,3,3,0
46,82,1,1,0,0,0
47,79,2,2,2,0,0
48,81,0,0,0,0,0
49,0,1,2,2,0,0
50,82,3,1,0,0,0
51,79,0,2,2,0,0
52,79,2,0,2,3,0
53,0,0,0,2,3,0
54,81,1,0,1,1,0
55,82,3,1,0,0,0
56,1,2,1,2,3,0
57,1,0,1,2,0,0
58,82,2,0,3,3,0
59,79,3,2,2,3,0
60,79,3,1,2,0,0
61,79,3,2,2,0,0
62,1,2,1,2,0,0
63,1,2,0,2,3,0
64,1,3,2,2,3,0
65,80,0,2,2,3,0
66,80,2,0,2,3,0
67,82,1,0,1,1,0
68,0,2,1,2,0,0
69,81,0,2,0,0,0
70,79,2,0,2,3,0
71,80,0,1,2,0,0
72,82,2,0,3,3,0
73,82,3,1,0,0,0
74,82,3,1,0,0,0
75,81,3,0,0,0,0
76,1,0,1,2,0,0
77,1,3,0,2,0,0
78,0,3,2,2,0,0
79,0,1,2,2,0,0
80,81,2,1,0,0,0
81,80,0,2,2,0,0
82,0,0,1,2,0,0
83,0,0,1,2,0,0
84,80,0,1,2,0,0
85,80,3,1,2,0,0
86,82,0,1,0,0,0
87,82,1,1,1,1,0
88,0,2,1,2,3,0
89,1,0,0,2,3,0
90,0,2,1,2,0,0
91,0,1,0,2,1,0
92,81,0,0,1,1,0
93,82,0,2,1,1,0
94,80,3,1,2,0,0
95,0,0,1,2,0,0
96,1,3,2,2,0,0
97,79,3,2,2,0,0
98,1,2,1,2,0,0
99,82,1,1,1,1,0
100,80,0,1,2,0,0
101,79,1,2,2,0,0
102,80,3,0,2,0,0
103,82,1,0,1,1,0
104,79,2,2,2,1,0
105,81,1,2,1,1,0
106,79,3,1,2,0,0
107,79,1,0,2,1,0
108,82,2,2,1,1,0
109,80,1,2,2,1,0
110,82,1,2,1,1,0
111,79,0,2,2,1,0
112,0,3,1,2,0,0
113,81,2,1,3,3,0
114,0,0,1,2,0,0
115,0,1,2,2,0,0
116,79,2,0,2,3,0
117,79,2,0,2,3,0
118,79,1,1,2,0,0
119,79,0,2,2,0,0
120,1,2,2,2,0,0
121,0,2,2,2,0,0
122,81,1,1,0,0,0
123,81,0,2,0,0,0
124,80,1,0,2,1,0
125,1,2,0,2,3,0
126,82,0,2,3,3,0
127,1,3,2,2,3,0
128,1,2,2,2,3,0
129,82,1,1,0,0,0
130,0,2,1,2,3,0
131,79,1,0,2,1,0
132,79,0,0,2,1,0
133,0,0,2,2,1,0
134,81,1,2,1,1,0
135,81,3,2,1,1,0
136,82,2,0,3,3,0
137,80,3,0,2,3,0
138,82,3,0,3,3,0
139,79,1,1,2,0,0
140,80,2,1,2,3,0
141,79,1,1,2,1,0
142,81,2,0,3,3,0
143,1,1,0,2,1,0
144,80,0,2,2,1,0
145,79,1,2,2,1,0
146,80,0,1,2,0,0
147,81,1,1,1,1,0
148,0,2,0,2,3,0
149,82,2,1,0,0,0
150,82,3,2,0,0,0
151,79,1,1,2,0,0
152,0,1,0,2,1,0
153,81,1,2,1,1,0
154,81,0,1,0,0,0
155,82,1,2,0,0,0
156,79,0,0,2,0,0
157,0,0,2,2,0,0
158,0,2,0,2,3,0
159,80,1,2,2,3,0
160,1,3,0,2,3,0
161,80,2,0,2,3,0
162,82,3,2,3,3,0
163,1,1,0,2,1,0
164,1,2,1,2,0,0
165,80,3,0,2,0,0
166,80,1,2,2,0,0
167,82,3,1,0,0,0
168,82,3,2,0,0,0
169,82,0,2,0,0,0
170,80,2,0,2,3,0
171,79,0,1,2,0,0
172,1,2,2,2,0,0
173,82,1,0,1,1,0
174,79,3,2,2,1,0
