Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,1,3,2,2,2,0
2,79,1,2,2,2,0
3,1,1,1,2,0,0
4,79,2,0,2,3,0
5,1,1,0,2,1,0
6,80,1,2,2,1,0
7,0,3,1,2,0,0
8,82,1,2,0,0,0
9,82,0,1,0,0,0
10,82,2,1,3,3,0
11,80,3,0,2,3,0
12,0,1,1,2,0,0
13,0,3,2,2,0,0
14,79,2,0,2,3,0
15,79,0,0,2,3,0
16,1,3,0,2,3,0
17,80,1,0,2,1,0
18,79,1,1,2,0,0
19,1,0,1,2,0,0
20,79,0,1,2,0,0
21,80,2,1,2,3,0
22,1,2,0,2,3,0
23,1,2,0,2,3,0
24,80,2,2,2,3,0
25,0,0,0,2,3,0
26,79,0,0,2,3,0
27,81,3,1,0,0,0
28,79,1,0,2,1,0
29,0,2,0,2,3,0
30,82,3,1,0,0,0
31,82,2,0,3,3,0
32,0,2,2,2,3,0
33,1,0,0,2,3,0
34,82,1,2,3,3,0
35,1,3,1,2,0,0
36,0,0,2,2,0,0
37,82,1,2,0,0,0
38,79,0,2,2,0,0
39,81,2,0,3,3,0
40,82,2,2,3,3,0
41,80,0,0,2,3,0
42,1,0,0,2,3,0
43,82,3,1,0,0,0
44,81,0,0,0,0,0
45,82,0,1,0,0,0
46,0,0,2,2,0,0
47,82,0,1,0,0,0
48,82,3,0,0,0,0
49,81,3,2,0,0,0
50,80,3,0,2,0,0
51,81,0,0,0,0,0
52,80,3,1,2,0,0
53,1,2,0,2,3,0
54,81,2,0,3,3,0
55,0,0,0,2,3,0
56,80,3,0,2,3,0
57,79,0,2,2,3,0
58,81,3,1,0,0,0
59,80,0,1,2,0,0
60,81,3,0,0,0,0
61,0,2,0,2,3,0
62,79,3,2,2,3,0
63,0,1,1,2,0,0
64,80,2,2,2,0,0
65,0,2,0,2,3,0
66,1,2,0,2,3,0
67,0,1,0,2,1,0
68,81,1,2,1,1,0
69,1,2,2,2,1,0
70,79,1,0,2,1,0
71,79,1,2,2,1,0
72,80,1,2,2,1,0
73,80,2,0,2,3,0
74,79,3,0,2,3,0
75,79,0,1,2,0,0
76,81,0,1,0,0,0
77,82,1,1,1,1,0
78,80,1,2,2,1,0
79,80,2,0,2,3,0
80,81,1,1,0,0,0
81,1,0,2,2,0,0
82,80,1,0,2,1,0
83,80,3,0,2,1,0
84,82,2,0,3,3,0
85,1,0,1,2,0,0
86,80,2,1,2,3,0
87,79,2,2,2,3,0
88,79,0,1,2,0,0
89,81,2,2,0,0,0
90,80,1,0,2,1,0
91,0,0,2,2,1,0
92,1,0,2,2,1,0
93,81,3,2,1,1,0
94,1,2,2,2,1,0
95,1,0,1,2,0,0
96,0,2,1,2,3,0
97,82,3,1,3,3,0
