Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,80,3,1,2,0,0
2,0,2,0,2,3,0
3,80,1,2,2,3,0
4,80,2,0,2,3,0
5,79,3,1,2,0,0
6,0,0,2,2,0,0
7,81,2,2,0,0,0
8,81,0,1,0,0,0
9,1,0,1,2,0,0
10,82,1,1,1,1,0
11,1,3,1,2,1,0
12,1,2,0,2,3,0
13,1,0,0,2,3,0
14,0,1,2,2,3,0
15,82,2,0,3,3,0
16,80,0,1,2,0,0
17,79,0,0,2,0,0
18,80,2,2,2,0,0
19,80,3,2,2,0,0
20,0,0,0,2,0,0
21,0,1,1,2,0,0
22,82,2,1,3,3,0
23,79,2,0,2,3,0
24,1,2,2,2,3,0
25,79,2,0,2,3,0
26,80,0,2,2,3,0
27,0,0,1,2,0,0
