Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,79,1,0,2,1,0
2,82,0,0,1,1,0
3,82,3,2,1,1,0
4,79,0,0,2,1,0
5,79,3,1,2,0,0
6,81,2,1,3,3,0
7,1,1,0,2,1,0
8,82,3,1,0,0,0
9,81,1,2,0,0,0
10,80,3,0,2,0,0
11,80,3,2,2,0,0
12,82,3,0,0,0,0
13,82,1,2,0,0,0
14,80,0,0,2,0,0
15,81,2,1,0,0,0
16,79,2,0,2,3,0
17,79,2,0,2,3,0
18,81,2,1,0,0,0
19,79,1,2,2,0,0
20,79,3,1,2,0,0
21,81,1,0,1,1,0
22,80,0,1,2,0,0
23,81,0,2,0,0,0
24,82,2,2,0,0,0
25,82,2,1,0,0,0
26,80,0,0,2,0,0
27,81,3,0,0,0,0
28,79,1,0,2,1,0
29,82,3,0,1,1,0
30,81,2,0,3,3,0
31,0,0,0,2,3,0
32,1,0,2,2,3,0
33,80,3,1,2,0,0
34,0,1,1,2,1,0
35,80,1,1,2,1,0
36,0,3,1,2,1,0
37,0,0,1,2,0,0
38,1,3,0,2,0,0
39,81,3,0,0,0,0
40,82,3,2,0,0,0
41,80,0,1,2,0,0
42,81,3,2,0,0,0
43,82,2,0,3,3,0
44,79,1,1,2,0,0
45,79,0,2,2,0,0
46,82,0,0,0,0,0
47,1,1,2,2,0,0
48,82,1,0,1,1,0
49,79,3,0,2,1,0
50,80,1,1,2,0,0
51,80,2,2,2,0,0
52,80,2,2,2,0,0
53,80,1,2,2,0,0
54,80,0,2,2,0,0
55,80,3,2,2,0,0
56,79,0,0,2,0,0
57,81,2,2,0,0,0
58,1,0,0,2,0,0
59,79,1,0,2,1,0
60,79,1,0,2,1,0
61,79,0,0,2,1,0
62,0,2,2,2,1,0
63,0,2,2,2,1,0
64,79,1,0,2,1,0
65,81,2,1,0,0,0
66,80,3,0,2,0,0
67,82,1,1,0,0,0
68,82,1,2,0,0,0
69,1,2,0,2,3,0
70,80,1,2,2,3,0
71,0,2,2,2,3,0
72,82,2,1,0,0,0
73,81,0,2,0,0,0
74,81,3,1,0,0,0
75,80,2,0,2,3,0
76,0,2,2,2,3,0
77,1,3,1,2,0,0
78,79,3,2,2,0,0
79,82,2,1,0,0,0
80,80,3,1,2,0,0
81,82,2,0,3,3,0
82,1,0,1,2,0,0
83,81,2,1,3,3,0
84,79,0,0,2,3,0
85,1,1,2,2,3,0
86,81,0,1,0,0,0
87,82,1,2,0,0,0
88,79,3,2,2,0,0
89,80,2,0,2,3,0
90,0,3,2,2,3,0
91,79,0,0,2,3,0
92,80,3,1,2,0,0
93,79,0,2,2,0,0
94,1,0,0,2,0,0
95,1,1,1,2,0,0
96,82,0,2,0,0,0
97,80,1,2,2,0,0
98,79,1,0,2,1,0
99,80,1,0,2,1,0
