Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,0,3,2,2,2,0
2,81,2,0,3,3,0
3,82,2,1,0,0,0
4,1,3,2,2,0,0
5,79,3,2,2,0,0
6,80,3,0,2,0,0
7,1,3,2,2,0,0
8,81,1,0,1,1,0
9,82,3,0,1,1,0
10,0,1,2,2,1,0
11,82,1,1,0,0,0
12,0,2,1,2,3,0
13,80,3,1,2,3,0
14,82,0,2,3,3,0
15,82,2,0,3,3,0
16,81,0,2,3,3,0
17,82,0,0,3,3,0
18,0,3,2,2,3,0
19,81,2,0,3,3,0
20,0,3,1,2,0,0
21,80,2,0,2,3,0
22,82,1,1,0,0,0
23,80,1,1,2,0,0
24,0,1,0,2,1,0
25,82,3,0,1,1,0
26,79,2,2,2,1,0
27,80,2,2,2,1,0
28,80,3,1,2,0,0
29,82,0,2,0,0,0
30,79,0,2,2,0,0
31,82,2,2,0,0,0
32,0,0,1,2,0,0
33,82,0,0,0,0,0
34,0,3,1,2,0,0
35,80,3,2,2,0,0
36,0,1,1,2,0,0
37,1,0,2,2,0,0
38,81,1,2,0,0,0
39,79,3,1,2,0,0
40,81,2,2,0,0,0
41,81,0,1,0,0,0
42,1,1,0,2,1,0
43,79,0,2,2,1,0
44,79,3,1,2,0,0
45,82,3,0,0,0,0
46,80,0,2,2,0,0
47,79,3,2,2,0,0
48,81,2,2,0,0,0
49,1,2,0,2,3,0
50,81,1,1,0,0,0
51,80,0,1,2,0,0
52,82,1,1,1,1,0
53,81,3,0,1,1,0
54,0,2,2,2,1,0
55,79,2,0,2,3,0
56,80,3,1,2,0,0
57,81,2,1,3,3,0
58,81,3,0,3,3,0
59,0,1,1,2,0,0
60,81,1,2,0,0,0
61,1,3,1,2,0,0
62,82,0,0,0,0,0
63,82,0,0,0,0,0
64,82,0,0,0,0,0
65,82,1,0,1,1,0
66,82,0,0,1,1,0
67,80,1,1,2,0,0
68,1,1,2,2,0,0
69,0,0,0,2,0,0
70,82,1,0,1,1,0
71,1,2,0,2,3,0
72,81,2,1,0,0,0
73,1,3,2,2,0,0
74,79,2,1,2,0,0
75,81,3,2,0,0,0
76,1,3,2,2,0,0
77,0,3,1,2,0,0
78,0,0,0,2,0,0
79,1,0,2,2,0,0
80,81,0,2,0,0,0
81,0,3,1,2,0,0
82,0,0,1,2,0,0
83,79,1,2,2,0,0
84,0,2,1,2,0,0
85,79,2,1,2,0,0
86,81,1,0,1,1,0
87,1,1,2,2,1,0
88,79,2,1,2,0,0
89,80,1,1,2,1,0
90,0,1,1,2,1,0
91,80,1,1,2,1,0
92,0,2,1,2,3,0
93,81,3,0,3,3,0
94,1,2,2,2,3,0
95,0,0,2,2,3,0
96,80,2,0,2,3,0
97,80,3,2,2,3,0
98,81,3,1,0,0,0
99,79,2,0,2,3,0
100,81,2,1,0,0,0
101,81,1,2,0,0,0
102,0,2,2,2,0,0
103,80,0,0,2,0,0
104,79,1,0,2,1,0
105,81,1,2,1,1,0
106,81,0,0,1,1,0
107,82,3,2,1,1,0
108,79,3,2,2,1,0
109,0,0,0,2,1,0
110,82,2,2,1,1,0
111,1,2,2,2,1,0
112,0,0,0,2,1,0
113,1,2,2,2,1,0
114,79,3,1,2,0,0
115,1,2,0,2,3,0
116,79,3,0,2,3,0
117,80,1,1,2,0,0
118,1,3,0,2,0,0
119,0,1,0,2,1,0
120,0,2,0,2,3,0
121,81,0,0,3,3,0
122,82,3,0,3,3,0
123,80,1,2,2,3,0
124,82,2,1,0,0,0
125,82,0,1,0,0,0
126,79,1,1,2,1,0
127,80,0,1,2,0,0
128,0,2,2,2,0,0
129,81,0,0,0,0,0
130,80,0,1,2,0,0
131,0,3,2,2,0,0
132,81,0,0,0,0,0
133,80,3,0,2,0,0
134,82,3,1,0,0,0
135,80,1,2,2,0,0
136,1,1,1,2,0,0
137,0,0,2,2,0,0
138,82,3,2,0,0,0
139,82,1,0,1,1,0
140,81,2,2,1,1,0
141,1,3,1,2,0,0
142,79,3,2,2,0,0
143,82,2,2,0,0,0
144,1,1,2,2,0,0
145,80,1,2,2,0,0
146,0,3,0,2,0,0
147,82,3,1,0,0,0
148,0,0,2,2,0,0
149,79,2,0,2,3,0
150,79,1,1,2,0,0
151,79,3,0,2,0,0
152,1,0,0,2,0,0
153,0,0,2,2,0,0
154,81,0,1,0,0,0
155,79,0,0,2,0,0
156,80,1,0,2,1,0
157,80,3,2,2,1,0
158,81,0,2,1,1,0
159,0,2,0,2,3,0
160,1,0,0,2,3,0
161,81,0,0,3,3,0
162,1,0,0,2,3,0
163,1,3,2,2,3,0
164,82,3,0,3,3,0
165,82,2,0,3,3,0
166,81,3,0,3,3,0
167,82,3,2,3,3,0
168,0,2,2,2,3,0
169,81,1,1,0,0,0
170,81,0,0,0,0,0
171,81,0,1,0,0,0
172,79,3,0,2,0,0
173,1,0,2,2,0,0
174,1,3,1,2,0,0
175,81,0,1,0,0,0
176,81,3,2,0,0,0
177,80,0,2,2,0,0
178,1,0,0,2,0,0
179,82,1,2,0,0,0
180,79,2,2,2,0,0
181,0,0,1,2,0,0
