Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,81,0,1,0,0,0
2,80,3,1,2,0,0
3,79,3,0,2,0,0
4,82,1,2,0,0,0
5,81,1,1,0,0,0
6,79,2,2,2,0,0
7,0,1,0,2,1,0
8,0,2,0,2,3,0
9,79,3,1,2,0,0
10,81,1,2,0,0,0
11,81,2,1,0,0,0
12,1,3,0,2,0,0
13,0,0,0,2,0,0
14,82,2,2,0,0,0
15,82,1,2,0,0,0
16,0,3,0,2,0,0
17,82,2,0,3,3,0
18,79,2,2,2,3,0
19,0,0,1,2,0,0
20,81,1,0,1,1,0
21,82,3,1,0,0,0
22,0,3,1,2,0,0
23,0,1,2,2,0,0
24,80,1,1,2,0,0
25,80,2,2,2,0,0
26,0,1,2,2,0,0
27,81,1,2,0,0,0
28,1,2,1,2,0,0
29,0,1,0,2,1,0
30,79,3,0,2,1,0
31,1,2,2,2,1,0
32,81,0,2,1,1,0
33,81,3,2,1,1,0
34,1,2,2,2,1,0
35,81,3,2,1,1,0
36,81,3,0,1,1,0
37,0,3,1,2,0,0
38,81,1,0,1,1,0
39,82,1,2,1,1,0
40,82,1,2,1,1,0
41,82,2,0,3,3,0
42,81,0,2,3,3,0
43,81,0,1,0,0,0
44,1,2,1,2,3,0
45,0,3,0,2,3,0
46,81,2,1,0,0,0
47,82,3,0,0,0,0
48,79,3,2,2,0,0
49,0,3,0,2,0,0
50,1,3,2,2,0,0
51,1,3,1,2,0,0
52,82,2,1,3,3,0
53,80,0,1,2,0,0
54,81,3,0,0,0,0
55,80,2,1,2,0,0
56,1,2,2,2,0,0
57,0,3,1,2,0,0
58,1,1,1,2,1,0
59,82,2,1,3,3,0
60,1,1,2,2,3,0
61,0,1,2,2,3,0
62,79,1,0,2,1,0
63,0,0,1,2,0,0
64,0,0,0,2,0,0
65,80,0,2,2,0,0
66,80,2,2,2,0,0
67,79,0,1,2,0,0
68,0,2,2,2,0,0
69,81,1,2,0,0,0
70,79,1,2,2,0,0
71,80,0,2,2,0,0
72,82,2,1,0,0,0
73,80,1,0,2,1,0
74,82,0,2,1,1,0
75,1,1,2,2,1,0
76,79,1,2,2,1,0
77,1,0,2,2,1,0
78,82,3,1,0,0,0
79,79,0,0,2,0,0
80,80,0,2,2,0,0
81,1,0,0,2,0,0
82,81,2,1,0,0,0
83,80,0,2,2,0,0
84,82,0,0,0,0,0
85,82,0,0,0,0,0
86,1,3,2,2,0,0
87,0,3,0,2,0,0
88,81,0,2,0,0,0
89,82,1,0,1,1,0
90,81,1,2,1,1,0
91,81,0,2,1,1,0
92,79,3,1,2,0,0
93,82,0,1,0,0,0
94,80,2,1,2,3,0
95,80,2,2,2,3,0
96,82,0,0,3,3,0
97,82,2,0,3,3,0
98,80,3,0,2,3,0
99,1,0,0,2,3,0
100,1,0,2,2,3,0
101,80,2,0,2,3,0
102,82,3,0,3,3,0
103,79,0,2,2,3,0
104,1,3,1,2,0,0
105,0,2,0,2,3,0
106,0,0,2,2,3,0
107,80,2,0,2,3,0
108,82,2,1,0,0,0
109,1,1,0,2,1,0
110,82,3,1,0,0,0
111,80,2,2,2,0,0
112,80,0,1,2,0,0
113,81,2,0,3,3,0
114,81,0,1,0,0,0
115,1,3,0,2,0,0
116,80,3,2,2,0,0
117,79,2,1,2,0,0
118,79,0,0,2,0,0
119,79,1,0,2,1,0
120,79,2,1,2,0,0
121,81,0,2,0,0,0
122,0,1,2,2,0,0
123,79,2,2,2,0,0
