Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,80,2,1,2,0,0
2,1,2,2,2,0,0
3,81,1,0,1,1,0
4,82,0,0,1,1,0
5,82,2,1,0,0,0
6,81,2,2,0,0,0
7,80,2,2,2,0,0
8,0,0,1,2,0,0
9,82,3,2,0,0,0
10,79,2,2,2,0,0
11,81,2,1,0,0,0
12,81,2,1,0,0,0
13,1,1,0,2,1,0
14,81,1,1,0,0,0
15,80,2,1,2,3,0
16,81,0,2,3,3,0
17,81,1,2,3,3,0
18,81,0,0,3,3,0
19,81,3,1,0,0,0
20,1,3,1,2,0,0
21,81,0,0,0,0,0
22,82,2,2,0,0,0
23,80,3,2,2,0,0
24,1,0,2,2,0,0
25,1,2,2,2,0,0
26,80,0,0,2,0,0
27,0,3,0,2,0,0
28,0,2,1,2,0,0
29,79,2,2,2,0,0
30,79,0,2,2,0,0
31,80,1,1,2,0,0
32,80,3,0,2,0,0
33,0,1,2,2,0,0
34,82,2,1,0,0,0
35,1,2,0,2,3,0
36,80,3,1,2,0,0
37,82,3,0,0,0,0
38,1,3,0,2,0,0
39,80,3,1,2,0,0
40,81,0,2,0,0,0
41,80,1,0,2,1,0
42,81,2,0,3,3,0
43,0,1,0,2,1,0
44,81,0,1,0,0,0
45,82,1,1,1,1,0
46,1,3,1,2,1,0
47,0,0,1,2,0,0
48,80,1,1,2,1,0
49,0,1,0,2,1,0
50,80,1,2,2,1,0
51,1,0,0,2,1,0
52,0,3,0,2,1,0
53,81,1,0,1,1,0
