Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,81,2,2,2,2,0
2,0,2,0,2,3,0
3,0,2,2,2,3,0
4,1,1,1,2,0,0
5,0,2,1,2,3,0
6,82,2,2,3,3,0
7,81,0,0,3,3,0
8,81,3,0,3,3,0
9,80,2,0,2,3,0
10,82,1,0,1,1,0
11,79,2,0,2,3,0
12,79,3,1,2,0,0
13,1,1,1,2,1,0
14,0,0,1,2,0,0
15,1,2,0,2,3,0
16,1,0,0,2,3,0
17,0,0,2,2,3,0
18,1,0,2,2,3,0
19,82,1,0,1,1,0
20,79,0,1,2,0,0
21,0,3,2,2,0,0
22,79,1,0,2,1,0
23,82,0,0,1,1,0
24,80,1,0,2,1,0
25,1,3,0,2,1,0
26,79,2,2,2,1,0
27,81,0,2,1,1,0
28,1,2,2,2,1,0
29,81,1,1,0,0,0
30,81,1,1,0,0,0
31,81,0,1,0,0,0
32,79,1,2,2,0,0
33,0,1,0,2,1,0
34,79,3,0,2,1,0
35,79,0,0,2,1,0
36,81,2,2,1,1,0
37,1,2,0,2,3,0
38,81,0,0,3,3,0
39,81,3,1,0,0,0
40,1,1,0,2,1,0
41,79,2,2,2,1,0
42,80,3,0,2,1,0
43,81,3,0,1,1,0
44,79,3,1,2,0,0
45,82,0,1,0,0,0
46,82,1,2,0,0,0
47,82,3,2,0,0,0
48,0,2,1,2,0,0
49,0,3,2,2,0,0
50,1,1,0,2,1,0
51,79,1,2,2,1,0
52,80,1,1,2,0,0
53,79,3,1,2,0,0
54,0,1,1,2,1,0
55,79,3,2,2,1,0
56,80,1,2,2,1,0
57,81,1,1,0,0,0
58,80,2,2,2,0,0
59,0,1,1,2,0,0
60,80,1,0,2,1,0
61,82,1,0,1,1,0
62,81,1,1,0,0,0
63,0,1,0,2,1,0
64,80,1,1,2,0,0
65,82,3,2,0,0,0
66,1,0,1,2,0,0
67,81,2,0,3,3,0
68,80,0,0,2,3,0
69,80,1,0,2,1,0
70,81,3,0,1,1,0
71,81,0,0,1,1,0
72,79,0,2,2,1,0
73,80,2,1,2,0,0
74,81,0,0,0,0,0
75,79,3,1,2,0,0
76,0,0,1,2,0,0
77,80,2,1,2,3,0
78,81,1,1,1,1,0
79,79,0,0,2,1,0
80,82,0,1,0,0,0
81,79,3,2,2,0,0
82,80,1,2,2,0,0
83,1,0,0,2,0,0
84,82,2,0,3,3,0
85,81,3,1,0,0,0
86,79,2,1,2,3,0
87,79,0,1,2,0,0
88,80,3,0,2,0,0
89,82,2,2,0,0,0
90,1,2,1,2,0,0
91,1,1,2,2,0,0
92,82,3,2,0,0,0
93,0,1,2,2,0,0
94,80,0,2,2,0,0
95,81,0,2,0,0,0
96,0,2,0,2,3,0
97,81,3,2,3,3,0
98,80,0,1,2,0,0
99,82,1,1,1,1,0
100,0,3,1,2,1,0
101,79,1,2,2,1,0
102,80,0,2,2,1,0
103,82,3,2,1,1,0
104,80,0,0,2,1,0
105,80,3,2,2,1,0
106,1,1,2,2,1,0
107,1,0,0,2,1,0
108,82,1,2,1,1,0
109,82,0,0,1,1,0
110,1,3,1,2,0,0
111,82,1,0,1,1,0
112,0,3,1,2,0,0
