Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,0,1,0,2,1,0
2,1,0,2,2,1,0
3,79,0,0,2,1,0
4,0,0,0,2,1,0
5,80,0,2,2,1,0
6,1,3,1,2,0,0
7,82,2,1,3,3,0
8,0,1,1,2,1,0
9,79,3,1,2,1,0
10,82,0,2,1,1,0
11,0,3,1,2,0,0
12,80,2,0,2,3,0
13,0,3,0,2,3,0
14,80,0,1,2,0,0
15,0,1,2,2,0,0
16,80,3,1,2,0,0
17,81,3,1,0,0,0
18,80,3,1,2,0,0
19,0,3,0,2,0,0
20,82,3,0,0,0,0
21,80,0,0,2,0,0
22,82,3,2,0,0,0
23,80,2,0,2,3,0
24,81,3,1,0,0,0
25,80,3,2,2,0,0
26,0,3,1,2,0,0
27,1,1,2,2,0,0
28,81,1,2,0,0,0
29,81,0,1,0,0,0
30,80,2,2,2,0,0
31,79,1,0,2,1,0
32,81,0,2,1,1,0
33,0,0,0,2,1,0
34,79,1,1,2,0,0
35,81,2,0,3,3,0
36,79,2,0,2,3,0
37,1,2,0,2,3,0
38,82,1,1,0,0,0
39,79,1,0,2,1,0
40,80,1,1,2,0,0
41,81,3,2,0,0,0
42,81,0,0,0,0,0
43,1,0,1,2,0,0
44,79,0,2,2,0,0
45,1,3,2,2,0,0
46,80,2,1,2,0,0
47,79,1,0,2,1,0
48,0,1,0,2,1,0
49,81,1,0,1,1,0
50,82,0,1,0,0,0
51,81,3,0,0,0,0
52,79,0,0,2,0,0
53,82,0,1,0,0,0
54,81,1,1,1,1,0
55,0,1,0,2,1,0
56,80,2,1,2,0,0
57,0,2,1,2,0,0
58,0,1,1,2,1,0
59,81,3,1,1,1,0
60,0,2,0,2,3,0
61,81,2,1,0,0,0
