Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,82,1,0,1,1,0
2,82,2,2,1,1,0
3,81,3,2,1,1,0
4,82,1,0,1,1,0
5,80,3,0,2,1,0
6,79,1,2,2,1,0
7,79,0,2,2,1,0
8,80,0,2,2,1,0
9,82,3,1,0,0,0
10,1,1,0,2,1,0
11,82,2,0,3,3,0
12,1,1,0,2,1,0
13,81,2,1,0,0,0
14,79,0,1,2,0,0
15,82,1,0,1,1,0
16,0,0,2,2,1,0
17,0,3,1,2,0,0
18,79,2,2,2,0,0
19,0,0,0,2,0,0
20,82,2,2,0,0,0
21,79,0,1,2,0,0
22,79,3,1,2,0,0
23,0,0,2,2,0,0
24,81,1,2,0,0,0
25,82,3,2,0,0,0
26,82,2,1,0,0,0
27,82,3,2,0,0,0
28,82,1,1,0,0,0
29,81,3,2,0,0,0
30,82,1,1,0,0,0
31,1,1,2,2,0,0
32,1,3,1,2,0,0
33,0,3,2,2,0,0
34,0,1,1,2,0,0
35,81,2,1,3,3,0
36,0,0,2,2,3,0
37,81,1,1,0,0,0
38,80,3,0,2,0,0
39,82,2,1,0,0,0
40,80,0,2,2,0,0
41,0,3,1,2,0,0
42,79,2,0,2,3,0
43,0,2,0,2,3,0
44,81,3,1,0,0,0
45,82,0,1,0,0,0
46,81,3,2,0,0,0
47,79,3,0,2,0,0
48,80,3,0,2,0,0
49,80,0,1,2,0,0
50,79,2,0,2,3,0
51,0,0,2,2,3,0
52,80,1,2,2,3,0
53,79,2,0,2,3,0
54,79,1,1,2,0,0
55,80,3,0,2,0,0
56,0,2,0,2,3,0
57,79,1,0,2,1,0
58,1,3,0,2,1,0
59,1,3,0,2,1,0
60,80,1,2,2,1,0
61,81,1,2,1,1,0
62,81,0,0,1,1,0
63,79,3,0,2,1,0
64,81,0,2,1,1,0
65,82,3,1,0,0,0
66,0,2,0,2,3,0
67,1,1,2,2,3,0
68,79,0,2,2,3,0
69,0,2,2,2,3,0
70,0,3,2,2,3,0
71,81,0,0,3,3,0
72,79,0,1,2,0,0
73,82,1,2,0,0,0
74,82,3,0,0,0,0
75,82,3,2,0,0,0
76,81,1,0,1,1,0
77,80,0,1,2,0,0
78,82,0,2,0,0,0
79,82,0,2,0,0,0
80,82,3,2,0,0,0
81,79,0,1,2,0,0
82,79,2,2,2,0,0
83,80,0,1,2,0,0
84,82,0,0,0,0,0
85,82,1,1,0,0,0
86,80,1,0,2,1,0
87,82,0,0,1,1,0
88,80,3,2,2,1,0
89,80,2,2,2,1,0
90,0,0,0,2,1,0
91,0,0,0,2,1,0
92,82,2,1,0,0,0
93,0,1,1,2,1,0
94,0,2,2,2,1,0
95,1,1,2,2,1,0
96,0,3,0,2,1,0
97,79,3,2,2,1,0
98,80,3,1,2,0,0
99,81,0,2,0,0,0
100,79,0,1,2,0,0
101,80,1,2,2,0,0
102,81,1,0,1,1,0
103,80,1,0,2,1,0
104,82,3,2,1,1,0
105,80,2,2,2,1,0
106,80,0,0,2,1,0
107,82,1,2,1,1,0
108,0,1,0,2,1,0
109,1,2,1,2,0,0
110,79,1,1,2,1,0
111,0,3,0,2,1,0
112,81,2,0,3,3,0
113,82,0,0,3,3,0
114,81,3,1,0,0,0
115,82,3,2,0,0,0
116,82,0,1,0,0,0
117,79,3,0,2,0,0
118,79,0,2,2,0,0
119,82,2,2,0,0,0
120,80,2,1,2,0,0
121,81,0,0,0,0,0
122,82,1,0,1,1,0
123,82,3,1,0,0,0
124,1,3,0,2,0,0
125,0,0,0,2,0,0
126,82,2,2,0,0,0
127,79,2,1,2,0,0
128,80,1,2,2,0,0
129,82,0,2,0,0,0
130,1,3,0,2,0,0
131,0,1,1,2,0,0
132,82,3,1,0,0,0
133,82,1,0,1,1,0
134,82,0,0,1,1,0
135,79,3,1,2,0,0
136,82,3,1,0,0,0
137,81,0,1,0,0,0
138,79,3,0,2,0,0
139,79,2,2,2,0,0
140,81,3,0,0,0,0
141,80,0,1,2,0,0
142,80,0,1,2,0,0
143,79,0,0,2,0,0
144,81,3,0,0,0,0
145,1,0,1,2,0,0
146,0,3,2,2,0,0
147,79,2,2,2,0,0
148,80,3,0,2,0,0
149,81,1,2,0,0,0
150,1,0,0,2,0,0
151,0,1,0,2,1,0
152,82,2,1,0,0,0
153,1,3,0,2,0,0
154,80,1,1,2,0,0
155,1,0,0,2,0,0
156,82,3,0,0,0,0
157,0,0,2,2,0,0
158,79,2,0,2,3,0
159,80,3,0,2,3,0
160,80,0,1,2,0,0
161,1,0,0,2,0,0
162,79,0,1,2,0,0
163,79,2,2,2,0,0
164,80,2,0,2,3,0
