Time,The_Coin_Sensor,The_Coffee_Request_Button,The_System_Mode,The_Coffee_Machine_Output,The_Request_Timer
0,false,false,1,0,0
1,true,true,0,0,0
2,true,true,0,0,0
3,false,false,0,0,0
4,true,true,0,0,0
5,true,true,0,0,0
6,true,true,0,0,0
7,true,true,0,0,0
8,true,true,0,0,0
9,false,false,0,0,0
10,true,true,0,0,0
11,false,false,0,0,0
12,false,false,0,0,0
13,true,true,0,0,0
14,true,true,0,0,0
15,false,false,0,0,0
16,false,false,0,0,0
17,false,false,0,0,0
18,true,true,0,0,0
19,true,true,0,0,0
20,false,false,0,0,0
21,false,false,0,0,0
22,false,false,0,0,0
23,false,false,0,0,0
24,true,true,0,0,0
25,true,true,0,0,0
26,false,false,0,0,0
27,false,false,0,0,0
28,true,true,0,0,0
29,true,true,0,0,0
30,false,false,0,0,0
31,true,true,0,0,0
32,false,false,0,0,0
33,false,false,0,0,0
34,true,true,0,0,0
35,false,false,0,0,0
36,false,false,0,0,0
37,false,true,2,0,0
38,true,true,2,0,0
39,true,true,2,0,0
40,false,false,2,0,0
41,true,true,2,0,0
42,true,true,2,0,0
43,false,false,2,0,0
44,false,false,2,0,0
45,false,false,2,0,0
46,true,true,2,0,0
47,false,false,2,0,0
48,true,true,2,0,0
49,false,false,2,0,0
50,true,true,2,0,0
51,true,true,2,0,0
52,false,false,2,0,0
53,true,true,2,0,0
54,false,false,2,0,0
55,true,true,2,0,0
56,true,true,2,0,0
57,false,false,2,0,0
58,true,true,2,0,0
59,false,false,2,0,0
60,true,true,2,0,0
61,false,false,2,0,0
62,true,true,2,0,0
63,false,false,2,0,0
64,false,false,2,0,0
65,true,true,2,0,0
66,false,false,2,0,0
67,true,false,0,0,0
68,true,true,0,0,0
69,false,false,0,0,0
70,false,false,0,0,0
71,true,true,0,0,0
72,true,true,0,0,0
73,false,false,0,0,0
74,false,true,3,0,0
75,false,false,3,0,0
76,true,true,3,0,0
77,false,false,3,0,0
78,false,false,3,0,0
79,false,false,3,0,0
80,false,false,3,0,0
81,false,false,3,0,0
82,false,false,3,0,0
83,true,true,3,0,0
84,true,false,1,1,0
85,false,false,1,1,0
86,false,false,1,1,0
87,true,true,0,1,0
88,false,false,0,1,0
89,true,true,0,1,0
