Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,1,0,1,2,0,0
2,80,0,0,2,0,0
3,1,0,2,2,0,0
4,82,0,1,0,0,0
5,82,3,2,0,0,0
6,80,2,1,2,0,0
7,80,2,2,2,0,0
8,79,1,1,2,0,0
9,0,0,1,2,0,0
10,82,0,0,0,0,0
11,80,3,1,2,0,0
12,0,3,0,2,0,0
13,81,2,2,0,0,0
14,80,0,1,2,0,0
15,79,1,0,2,1,0
16,81,2,1,0,0,0
17,81,1,1,1,1,0
18,82,0,1,0,0,0
19,81,0,1,0,0,0
20,81,0,0,0,0,0
21,0,3,0,2,0,0
22,80,0,1,2,0,0
23,80,0,1,2,0,0
24,1,1,0,2,1,0
25,82,1,0,1,1,0
26,81,1,1,0,0,0
27,1,0,2,2,0,0
28,82,3,0,0,0,0
29,79,0,0,2,0,0
30,82,3,2,0,0,0
31,79,0,0,2,0,0
32,1,1,2,2,0,0
33,0,3,2,2,0,0
34,80,2,0,2,3,0
35,0,2,0,2,3,0
36,81,2,0,3,3,0
37,81,3,0,3,3,0
38,82,3,1,0,0,0
39,1,1,0,2,1,0
40,82,1,2,1,1,0
41,1,3,2,2,1,0
42,79,3,0,2,1,0
43,82,3,0,1,1,0
44,0,3,1,2,0,0
45,82,1,0,1,1,0
46,82,1,1,0,0,0
47,82,2,2,0,0,0
48,79,3,1,2,0,0
49,0,1,0,2,1,0
50,0,2,0,2,3,0
51,0,2,0,2,3,0
52,81,3,1,0,0,0
53,79,0,2,2,0,0
54,80,0,0,2,0,0
55,82,1,0,1,1,0
56,0,2,0,2,3,0
57,0,1,0,2,1,0
58,79,2,2,2,1,0
59,80,3,2,2,1,0
60,0,1,0,2,1,0
61,1,1,0,2,1,0
62,79,0,0,2,1,0
63,79,3,2,2,1,0
64,79,0,2,2,1,0
65,1,2,1,2,0,0
66,80,0,2,2,0,0
67,82,3,1,0,0,0
68,79,0,1,2,0,0
69,1,1,2,2,0,0
70,80,3,1,2,0,0
71,79,1,2,2,0,0
72,82,0,1,0,0,0
73,1,2,2,2,0,0
74,81,1,1,0,0,0
75,0,0,2,2,0,0
76,1,2,1,2,0,0
77,80,2,2,2,0,0
78,0,0,0,2,0,0
79,0,3,0,2,0,0
80,81,2,2,0,0,0
81,80,1,1,2,0,0
82,0,2,2,2,0,0
83,82,2,0,3,3,0
84,1,1,2,2,3,0
