Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,80,0,0,2,2,0
2,81,0,2,2,2,0
3,82,2,0,3,3,0
4,81,2,0,3,3,0
5,1,2,0,2,3,0
6,1,3,1,2,0,0
7,1,1,1,2,1,0
8,82,1,2,1,1,0
9,0,1,0,2,1,0
10,1,3,0,2,1,0
11,80,3,2,2,1,0
12,81,0,0,1,1,0
13,82,0,2,1,1,0
14,80,0,0,2,1,0
15,79,1,2,2,1,0
16,80,3,0,2,1,0
17,0,2,1,2,0,0
18,80,0,2,2,0,0
19,82,2,0,3,3,0
20,0,0,0,2,3,0
21,82,0,1,0,0,0
22,0,2,1,2,3,0
23,1,3,0,2,3,0
24,81,1,1,0,0,0
25,80,0,2,2,0,0
26,80,2,0,2,3,0
27,82,3,1,0,0,0
28,0,0,2,2,0,0
29,0,1,1,2,0,0
30,1,0,0,2,0,0
31,0,3,0,2,0,0
32,80,0,1,2,0,0
33,1,1,0,2,1,0
34,0,0,2,2,1,0
35,0,0,2,2,1,0
36,79,1,0,2,1,0
37,1,3,2,2,1,0
38,82,3,0,1,1,0
39,0,2,0,2,3,0
40,82,2,2,3,3,0
41,80,2,1,2,0,0
42,1,0,0,2,0,0
43,79,0,1,2,0,0
44,81,2,1,3,3,0
45,81,1,1,1,1,0
46,82,3,1,1,1,0
47,81,1,0,1,1,0
48,81,1,2,1,1,0
49,0,3,0,2,1,0
50,79,2,2,2,1,0
51,82,1,1,0,0,0
52,82,3,1,0,0,0
53,79,2,0,2,3,0
54,82,0,2,3,3,0
55,81,0,2,3,3,0
56,0,0,0,2,3,0
57,81,0,2,3,3,0
58,81,1,0,1,1,0
59,0,3,2,2,1,0
60,82,0,2,1,1,0
61,79,1,1,2,0,0
62,81,0,1,0,0,0
63,79,3,1,2,0,0
64,1,2,1,2,3,0
65,82,2,1,3,3,0
66,79,2,2,2,3,0
67,79,0,1,2,0,0
68,0,3,1,2,0,0
69,81,3,0,0,0,0
70,82,2,2,0,0,0
71,79,2,1,2,0,0
72,1,2,0,2,3,0
73,82,1,1,0,0,0
74,0,2,2,2,0,0
75,80,1,0,2,1,0
76,79,1,1,2,0,0
77,0,2,2,2,0,0
78,82,3,0,0,0,0
79,80,0,1,2,0,0
80,0,2,1,2,3,0
81,81,0,0,3,3,0
82,80,1,1,2,0,0
83,82,2,0,3,3,0
84,79,0,2,2,3,0
85,79,0,2,2,3,0
86,80,2,2,2,3,0
87,81,1,2,3,3,0
88,81,0,1,0,0,0
89,1,1,2,2,0,0
90,81,3,1,0,0,0
91,82,3,1,0,0,0
92,79,1,2,2,0,0
93,81,1,1,0,0,0
94,0,1,2,2,0,0
95,79,2,2,2,0,0
96,82,3,2,0,0,0
97,82,3,0,0,0,0
98,81,2,0,3,3,0
99,0,0,0,2,3,0
100,80,2,1,2,0,0
101,80,2,1,2,0,0
102,1,2,1,2,0,0
103,0,3,1,2,0,0
104,0,1,1,2,1,0
105,79,2,2,2,1,0
106,1,2,1,2,0,0
107,1,3,1,2,0,0
108,0,3,1,2,0,0
109,1,2,2,2,0,0
110,1,1,2,2,0,0
111,1,0,1,2,0,0
112,79,3,0,2,0,0
113,79,1,2,2,0,0
114,81,2,0,3,3,0
115,80,1,2,2,3,0
116,81,0,1,0,0,0
117,1,0,2,2,0,0
118,82,2,2,0,0,0
119,1,0,1,2,0,0
120,79,1,1,2,1,0
121,81,2,2,1,1,0
122,81,3,0,1,1,0
123,82,2,0,3,3,0
124,81,2,1,0,0,0
125,82,0,1,0,0,0
126,81,3,2,0,0,0
127,81,1,2,0,0,0
128,80,0,0,2,0,0
129,1,3,0,2,0,0
130,80,1,0,2,1,0
131,80,0,2,2,1,0
132,81,2,1,0,0,0
133,1,1,0,2,1,0
134,80,2,1,2,0,0
135,80,1,2,2,0,0
136,1,0,0,2,0,0
137,82,2,0,3,3,0
138,1,0,0,2,3,0
139,82,0,1,0,0,0
140,80,2,0,2,3,0
141,0,0,1,2,0,0
142,82,2,1,3,3,0
143,82,2,1,3,3,0
144,82,1,0,1,1,0
145,81,0,0,1,1,0
146,80,0,2,2,1,0
147,0,2,0,2,3,0
148,81,3,2,3,3,0
149,0,1,0,2,1,0
150,79,0,2,2,1,0
151,79,0,2,2,1,0
152,82,1,1,0,0,0
153,1,2,0,2,3,0
154,81,0,2,3,3,0
155,79,1,2,2,3,0
156,82,0,2,3,3,0
157,0,3,1,2,0,0
158,0,0,0,2,0,0
159,80,2,2,2,0,0
160,81,0,1,0,0,0
161,1,0,2,2,0,0
162,79,2,0,2,3,0
163,79,1,1,2,0,0
164,79,2,0,2,3,0
165,82,0,0,3,3,0
166,1,2,1,2,0,0
167,81,2,2,0,0,0
168,79,3,2,2,0,0
169,81,1,1,0,0,0
170,79,0,1,2,0,0
171,0,1,0,2,1,0
172,79,0,1,2,0,0
173,82,3,2,0,0,0
174,81,3,2,0,0,0
175,82,1,2,0,0,0
176,81,1,1,0,0,0
177,1,0,0,2,0,0
178,81,2,1,0,0,0
179,80,2,2,2,0,0
180,81,3,2,0,0,0
181,81,2,2,0,0,0
182,0,3,0,2,0,0
183,80,2,1,2,0,0
184,80,2,2,2,0,0
185,82,1,0,1,1,0
186,1,1,0,2,1,0
187,0,0,1,2,0,0
188,81,0,0,0,0,0
189,1,0,2,2,0,0
190,79,0,0,2,0,0
191,79,3,2,2,0,0
192,0,3,0,2,0,0
193,1,2,1,2,0,0
194,79,3,1,2,0,0
195,82,0,2,0,0,0
196,0,0,2,2,0,0
197,79,0,0,2,0,0
198,81,0,1,0,0,0
199,82,0,0,0,0,0
200,80,3,1,2,0,0
201,80,3,2,2,0,0
202,0,2,2,2,0,0
203,79,1,2,2,0,0
204,80,0,2,2,0,0
205,82,1,1,0,0,0
206,1,1,0,2,1,0
207,1,0,0,2,1,0
208,79,0,0,2,1,0
209,81,0,2,1,1,0
210,1,3,1,2,0,0
211,1,2,1,2,3,0
212,1,0,2,2,3,0
213,80,3,0,2,3,0
214,0,0,1,2,0,0
215,79,2,1,2,3,0
216,79,2,1,2,3,0
217,0,0,1,2,0,0
218,81,0,1,0,0,0
219,1,0,0,2,0,0
220,1,0,0,2,0,0
221,1,0,1,2,0,0
222,82,0,2,0,0,0
223,82,1,1,0,0,0
224,82,3,0,0,0,0
225,79,3,0,2,0,0
226,80,3,2,2,0,0
227,1,3,0,2,0,0
228,81,3,1,0,0,0
229,1,3,1,2,0,0
230,80,3,2,2,0,0
231,0,1,2,2,0,0
232,80,2,0,2,3,0
233,81,2,0,3,3,0
234,82,2,1,0,0,0
235,80,1,1,2,1,0
236,79,3,0,2,1,0
237,81,2,0,3,3,0
238,81,3,0,3,3,0
239,0,0,0,2,3,0
240,0,2,1,2,0,0
241,81,0,2,0,0,0
242,79,2,1,2,0,0
243,1,3,1,2,0,0
244,79,2,0,2,3,0
