Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,81,1,2,2,2,0
2,79,0,1,2,0,0
3,79,2,1,2,3,0
4,81,1,2,3,3,0
5,79,1,0,2,1,0
6,80,2,2,2,1,0
7,0,3,2,2,1,0
8,79,0,2,2,1,0
9,82,1,2,1,1,0
10,81,0,2,1,1,0
11,82,0,0,1,1,0
12,82,3,0,1,1,0
13,0,0,1,2,0,0
14,81,3,0,0,0,0
15,1,0,2,2,0,0
16,80,3,2,2,0,0
17,79,3,2,2,0,0
18,81,2,1,0,0,0
19,82,0,1,0,0,0
20,80,1,1,2,1,0
21,0,0,0,2,1,0
22,0,1,0,2,1,0
23,1,0,2,2,1,0
24,79,0,2,2,1,0
25,81,1,0,1,1,0
26,80,1,1,2,0,0
27,0,0,1,2,0,0
28,79,1,1,2,1,0
29,0,0,2,2,1,0
30,80,2,1,2,0,0
31,0,3,0,2,0,0
32,81,3,1,0,0,0
33,1,3,1,2,0,0
34,80,1,2,2,0,0
35,79,3,2,2,0,0
36,82,3,2,0,0,0
37,81,3,2,0,0,0
38,79,2,0,2,3,0
39,82,1,0,1,1,0
40,1,1,1,2,0,0
41,0,0,0,2,0,0
42,79,1,2,2,0,0
43,81,2,1,0,0,0
44,81,2,1,0,0,0
45,82,1,2,0,0,0
46,1,3,1,2,0,0
47,80,0,1,2,0,0
48,81,3,2,0,0,0
49,0,2,1,2,0,0
50,1,1,1,2,1,0
51,0,1,0,2,1,0
52,79,1,2,2,1,0
53,1,2,0,2,3,0
54,82,3,0,3,3,0
55,82,3,0,3,3,0
56,0,2,1,2,0,0
57,80,2,1,2,0,0
58,0,0,1,2,0,0
59,80,2,0,2,3,0
60,0,0,1,2,0,0
61,82,3,2,0,0,0
62,82,2,1,0,0,0
63,1,0,2,2,0,0
64,0,2,0,2,3,0
65,80,1,0,2,1,0
66,81,1,2,1,1,0
67,0,2,2,2,1,0
68,81,1,1,0,0,0
69,81,3,2,0,0,0
70,81,1,1,0,0,0
71,81,3,2,0,0,0
72,81,1,0,1,1,0
73,82,2,1,0,0,0
74,81,3,1,0,0,0
75,79,3,1,2,0,0
76,82,1,2,0,0,0
77,80,2,2,2,0,0
78,1,1,2,2,0,0
79,0,1,0,2,1,0
80,82,0,0,1,1,0
81,81,2,2,1,1,0
82,0,0,0,2,1,0
83,80,0,1,2,0,0
84,82,0,2,0,0,0
85,82,2,0,3,3,0
86,80,1,1,2,0,0
87,1,0,2,2,0,0
88,82,3,2,0,0,0
89,80,3,0,2,0,0
90,79,3,0,2,0,0
91,0,0,1,2,0,0
92,79,3,0,2,0,0
93,80,2,1,2,0,0
94,79,1,1,2,1,0
95,0,1,2,2,1,0
96,80,3,1,2,0,0
97,0,0,0,2,0,0
98,1,0,2,2,0,0
99,79,2,1,2,0,0
100,82,1,0,1,1,0
101,79,0,2,2,1,0
102,1,2,1,2,0,0
103,1,0,1,2,0,0
104,1,2,1,2,3,0
105,79,3,2,2,3,0
106,0,2,2,2,3,0
107,79,3,2,2,3,0
108,1,1,1,2,0,0
109,79,3,2,2,0,0
110,79,1,2,2,0,0
111,0,1,0,2,1,0
112,82,0,0,1,1,0
113,0,2,2,2,1,0
114,0,1,0,2,1,0
115,82,0,2,1,1,0
116,1,1,2,2,1,0
117,79,2,1,2,0,0
118,82,2,1,0,0,0
119,82,2,2,0,0,0
120,80,2,2,2,0,0
121,81,1,2,0,0,0
122,82,0,1,0,0,0
123,82,1,1,1,1,0
124,0,2,0,2,3,0
125,1,2,0,2,3,0
126,80,3,2,2,3,0
127,80,2,1,2,0,0
128,81,1,1,1,1,0
129,0,2,2,2,1,0
130,80,0,1,2,0,0
131,82,3,0,0,0,0
132,81,0,1,0,0,0
133,81,0,0,0,0,0
134,80,2,1,2,0,0
135,1,2,1,2,0,0
136,80,3,0,2,0,0
137,81,1,1,0,0,0
138,0,1,1,2,0,0
139,80,2,2,2,0,0
140,1,0,0,2,0,0
141,79,2,0,2,3,0
142,1,2,2,2,3,0
143,80,3,2,2,3,0
144,81,2,0,3,3,0
145,0,3,2,2,3,0
146,82,0,2,3,3,0
147,81,2,2,3,3,0
148,81,3,1,0,0,0
149,80,3,1,2,0,0
150,82,3,2,0,0,0
151,1,3,1,2,0,0
152,1,3,1,2,0,0
153,80,3,0,2,0,0
154,79,1,0,2,1,0
155,81,1,2,1,1,0
156,82,3,1,0,0,0
157,79,1,1,2,1,0
158,80,1,2,2,1,0
159,80,1,1,2,0,0
160,82,2,0,3,3,0
161,1,0,0,2,3,0
162,79,2,2,2,3,0
163,80,3,2,2,3,0
164,80,3,0,2,3,0
165,1,0,0,2,3,0
166,0,1,1,2,0,0
167,82,2,2,0,0,0
168,82,2,0,3,3,0
169,81,2,2,3,3,0
170,79,2,1,2,0,0
171,0,3,1,2,0,0
172,0,2,1,2,3,0
173,79,0,2,2,3,0
174,80,2,0,2,3,0
175,1,0,0,2,3,0
176,82,0,2,3,3,0
177,1,3,2,2,3,0
178,1,1,1,2,0,0
179,80,0,0,2,0,0
