Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,81,1,1,0,0,0
2,80,1,1,2,0,0
3,1,2,2,2,0,0
4,0,0,2,2,0,0
5,80,2,1,2,0,0
6,0,0,0,2,0,0
7,82,2,2,0,0,0
8,80,1,1,2,0,0
9,0,2,1,2,3,0
10,82,1,1,1,1,0
11,81,2,2,1,1,0
12,80,1,0,2,1,0
13,81,2,2,1,1,0
14,82,0,1,0,0,0
15,0,3,1,2,0,0
16,0,2,1,2,3,0
17,1,0,1,2,0,0
18,80,0,1,2,0,0
19,0,3,0,2,0,0
20,82,2,1,0,0,0
21,1,0,1,2,0,0
22,1,0,1,2,0,0
23,79,0,2,2,0,0
24,79,1,0,2,1,0
25,0,2,0,2,3,0
26,80,1,2,2,3,0
27,82,0,1,0,0,0
28,0,2,0,2,3,0
29,0,1,2,2,3,0
30,79,0,0,2,3,0
31,82,3,0,3,3,0
32,80,0,2,2,3,0
33,81,3,0,3,3,0
34,81,2,1,0,0,0
35,79,1,0,2,1,0
36,0,2,1,2,0,0
37,0,3,2,2,0,0
38,1,0,0,2,0,0
39,82,3,1,0,0,0
40,1,1,0,2,1,0
41,80,2,1,2,0,0
42,81,3,0,0,0,0
43,1,2,2,2,0,0
44,1,3,2,2,0,0
45,1,2,1,2,0,0
46,79,2,0,2,3,0
47,1,3,0,2,3,0
48,79,0,0,2,3,0
49,79,3,0,2,3,0
50,1,0,1,2,0,0
51,0,2,0,2,3,0
52,79,3,2,2,3,0
53,81,1,2,3,3,0
54,81,3,1,0,0,0
55,79,2,1,2,3,0
56,81,0,1,0,0,0
57,0,0,2,2,0,0
58,79,3,1,2,0,0
59,80,0,2,2,0,0
60,81,0,1,0,0,0
61,82,1,2,0,0,0
62,82,0,2,0,0,0
63,1,1,1,2,0,0
64,0,0,0,2,0,0
65,1,2,1,2,0,0
66,81,2,2,0,0,0
67,0,1,0,2,1,0
68,0,3,1,2,0,0
69,82,3,2,0,0,0
70,80,1,0,2,1,0
71,79,3,0,2,1,0
72,79,3,1,2,0,0
73,1,2,1,2,3,0
74,80,3,0,2,3,0
75,1,1,0,2,1,0
76,1,0,2,2,1,0
77,82,1,0,1,1,0
78,0,2,1,2,0,0
79,0,1,2,2,0,0
80,1,0,1,2,0,0
81,1,1,1,2,1,0
82,1,2,0,2,3,0
83,82,2,2,3,3,0
84,80,3,0,2,3,0
85,1,2,2,2,3,0
86,0,2,2,2,3,0
87,79,1,0,2,1,0
88,79,0,0,2,1,0
89,81,2,1,0,0,0
90,0,2,0,2,3,0
91,81,3,1,0,0,0
92,79,1,0,2,1,0
93,79,0,0,2,1,0
94,82,2,0,3,3,0
95,80,1,1,2,0,0
96,79,1,2,2,0,0
97,1,0,0,2,0,0
98,81,2,2,0,0,0
99,80,3,2,2,0,0
100,81,3,1,0,0,0
101,79,2,2,2,0,0
102,81,1,0,1,1,0
103,81,3,0,1,1,0
104,81,3,2,1,1,0
105,1,1,1,2,0,0
106,82,0,1,0,0,0
107,82,0,1,0,0,0
108,1,1,0,2,1,0
109,81,1,1,0,0,0
110,80,3,2,2,0,0
111,79,1,1,2,0,0
112,79,0,1,2,0,0
113,1,3,2,2,0,0
114,1,1,1,2,0,0
115,81,0,0,0,0,0
116,80,2,1,2,0,0
117,1,1,2,2,0,0
118,79,0,1,2,0,0
119,0,1,2,2,0,0
120,1,2,2,2,0,0
121,0,0,0,2,0,0
122,80,3,1,2,0,0
123,80,0,1,2,0,0
124,1,2,0,2,3,0
125,80,3,1,2,0,0
126,79,3,2,2,0,0
127,81,1,2,0,0,0
128,80,1,1,2,0,0
129,0,1,2,2,0,0
130,82,1,0,1,1,0
