Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,82,1,1,0,0,0
2,82,2,0,3,3,0
3,79,1,2,2,3,0
4,1,1,0,2,1,0
5,81,3,0,1,1,0
6,81,3,2,1,1,0
7,81,3,1,0,0,0
8,81,3,1,0,0,0
9,81,1,1,1,1,0
10,1,3,2,2,1,0
11,1,1,1,2,0,0
12,81,1,1,0,0,0
13,0,1,1,2,0,0
14,79,3,1,2,0,0
15,80,2,2,2,0,0
16,81,1,0,1,1,0
17,1,1,2,2,1,0
18,80,3,0,2,1,0
19,81,1,2,1,1,0
20,82,3,1,0,0,0
21,80,3,2,2,0,0
22,79,0,1,2,0,0
23,81,1,2,0,0,0
24,80,0,0,2,0,0
25,0,1,0,2,1,0
26,80,0,2,2,1,0
27,0,0,1,2,0,0
28,81,2,1,3,3,0
29,82,2,1,3,3,0
30,0,3,0,2,3,0
31,0,1,2,2,3,0
32,81,1,2,3,3,0
33,81,2,0,3,3,0
34,82,2,0,3,3,0
35,1,1,2,2,3,0
36,1,0,0,2,3,0
37,0,2,2,2,3,0
38,79,1,2,2,3,0
39,82,0,2,3,3,0
40,0,2,0,2,3,0
41,0,2,2,2,3,0
42,1,1,0,2,1,0
43,0,1,0,2,1,0
44,80,2,0,2,3,0
45,80,1,0,2,1,0
46,82,2,2,1,1,0
47,80,1,2,2,1,0
48,81,0,1,0,0,0
49,82,3,0,0,0,0
50,0,0,1,2,0,0
51,0,2,0,2,3,0
52,80,3,2,2,3,0
53,1,2,0,2,3,0
54,0,3,1,2,0,0
55,0,0,2,2,0,0
56,79,1,2,2,0,0
57,79,1,1,2,0,0
58,80,0,1,2,0,0
59,79,3,0,2,0,0
60,0,1,1,2,0,0
61,0,0,2,2,0,0
62,82,0,2,0,0,0
63,82,3,1,0,0,0
64,0,1,0,2,1,0
65,81,1,2,1,1,0
66,79,1,1,2,0,0
67,81,2,2,0,0,0
68,0,1,0,2,1,0
69,80,1,0,2,1,0
70,82,2,2,1,1,0
71,79,3,1,2,0,0
72,81,3,0,0,0,0
73,80,3,0,2,0,0
74,1,1,1,2,0,0
75,80,1,2,2,0,0
76,82,0,2,0,0,0
77,80,3,2,2,0,0
78,79,0,0,2,0,0
79,79,1,1,2,0,0
80,79,3,2,2,0,0
81,0,0,1,2,0,0
82,81,1,1,1,1,0
83,79,1,2,2,1,0
84,82,1,1,0,0,0
85,1,2,1,2,3,0
86,82,0,1,0,0,0
87,0,1,0,2,1,0
88,0,1,0,2,1,0
89,0,3,1,2,0,0
90,0,2,0,2,3,0
91,80,1,2,2,3,0
92,0,1,1,2,0,0
93,1,3,2,2,0,0
