Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,82,1,1,0,0,0
2,80,1,0,2,1,0
3,82,2,0,3,3,0
4,0,3,1,2,0,0
5,0,1,2,2,0,0
6,80,2,2,2,0,0
7,1,0,2,2,0,0
8,79,3,1,2,0,0
9,79,1,1,2,1,0
10,80,0,1,2,0,0
11,80,0,1,2,0,0
12,80,3,2,2,0,0
13,80,1,2,2,0,0
14,80,1,2,2,0,0
15,80,2,1,2,0,0
16,81,3,0,0,0,0
17,82,2,1,0,0,0
18,0,1,1,2,1,0
19,1,0,1,2,0,0
20,81,1,2,0,0,0
21,82,2,0,3,3,0
22,0,1,0,2,1,0
23,79,2,1,2,0,0
24,81,0,1,0,0,0
25,0,3,0,2,0,0
26,79,3,2,2,0,0
27,1,2,1,2,0,0
28,81,2,2,0,0,0
