Time,I: the_voltage,I: the_turn_indicator_lever,I: the_emergency_flashing,O: the_indication_lights,O: the_flashing_mode,O: the_flashing_timer
0,0,0,0,2,2,0
1,80,0,2,2,2,0
2,1,2,1,2,0,0
3,82,0,1,0,0,0
4,80,2,0,2,3,0
5,0,1,0,2,1,0
6,0,1,1,2,0,0
7,80,3,2,2,0,0
8,81,3,1,0,0,0
9,1,2,0,2,3,0
10,82,1,0,1,1,0
11,0,0,1,2,0,0
12,1,1,2,2,0,0
13,0,1,1,2,0,0
14,79,0,0,2,0,0
15,82,1,1,0,0,0
16,80,2,0,2,3,0
17,1,3,0,2,3,0
18,82,2,0,3,3,0
19,1,3,1,2,0,0
20,81,3,2,0,0,0
21,82,1,2,0,0,0
22,0,1,2,2,0,0
23,82,0,1,0,0,0
24,82,1,1,1,1,0
25,0,3,1,2,1,0
26,79,1,1,2,1,0
27,79,0,2,2,1,0
28,81,1,0,1,1,0
29,1,0,2,2,1,0
30,81,0,1,0,0,0
31,79,3,0,2,0,0
32,0,1,1,2,0,0
33,80,3,1,2,0,0
34,82,2,1,3,3,0
35,0,2,0,2,3,0
36,82,3,2,3,3,0
37,80,0,0,2,3,0
38,82,3,2,3,3,0
39,0,2,1,2,0,0
40,79,1,2,2,0,0
41,1,3,1,2,0,0
42,81,1,0,1,1,0
43,1,0,0,2,1,0
44,79,0,1,2,0,0
45,81,2,1,3,3,0
46,0,1,0,2,1,0
47,1,3,2,2,1,0
48,82,3,0,1,1,0
49,80,0,0,2,1,0
50,0,0,1,2,0,0
51,0,1,1,2,1,0
52,79,0,2,2,1,0
53,1,0,2,2,1,0
54,81,2,1,0,0,0
55,1,3,1,2,0,0
56,81,0,2,0,0,0
57,81,3,0,0,0,0
58,79,3,0,2,0,0
59,82,0,2,0,0,0
60,81,0,0,0,0,0
61,80,0,0,2,0,0
62,79,2,0,2,3,0
63,82,3,0,3,3,0
64,1,3,2,2,3,0
65,80,1,1,2,0,0
66,81,1,1,0,0,0
